order_id,order_timestamp,location_id,customer_id
ORD-000713,2025-01-03 12:38:40,STM,DEAL-001
ORD-000714,2025-01-03 10:13:38,HTB,DEAL-002
ORD-000715,2025-01-05 11:28:14,KMM,DEAL-004
ORD-000716,2025-01-06 14:03:45,SZK,DEAL-003
ORD-000717,2025-01-08 10:00:47,HTB,DEAL-002
ORD-000718,2025-01-09 13:27:35,HMM,DEAL-005
ORD-000719,2025-01-12 10:30:00,STM,DEAL-001
ORD-000720,2025-01-14 08:22:24,KMM,DEAL-004
ORD-000721,2025-01-16 15:28:14,SZK,DEAL-003
ORD-000722,2025-01-17 17:03:45,HTB,DEAL-002
ORD-000723,2025-01-19 14:01:40,KMM,DEAL-004
ORD-000724,2025-01-21 11:03:13,STM,DEAL-001
ORD-000725,2025-01-21 10:47:01,HMM,DEAL-005
ORD-000726,2025-01-27 08:54:28,STM,DEAL-001
ORD-000727,2025-01-27 08:45:29,HTB,DEAL-002
ORD-000728,2025-01-27 10:31:28,KMM,DEAL-004
ORD-000729,2025-01-28 09:24:34,SZK,DEAL-003
ORD-000730,2025-01-29 09:34:23,HMM,DEAL-005
ORD-000731,2025-02-01 08:22:56,STM,DEAL-006
ORD-000732,2025-02-01 11:57:25,HTB,DEAL-007
ORD-000733,2025-02-01 15:59:13,SZK,DEAL-008
ORD-000734,2025-02-04 16:06:48,HTB,DEAL-002
ORD-000735,2025-02-04 12:21:45,SZK,DEAL-003
ORD-000736,2025-02-06 12:48:27,STM,DEAL-001
ORD-000737,2025-02-06 13:59:51,HMM,DEAL-005
ORD-000738,2025-02-07 09:49:16,KMM,DEAL-004
ORD-000739,2025-02-12 08:03:34,KMM,DEAL-004
ORD-000740,2025-02-13 17:40:28,HMM,DEAL-005
ORD-000741,2025-02-14 14:00:44,HTB,DEAL-002
ORD-000742,2025-02-16 17:36:13,SZK,DEAL-003
ORD-000743,2025-02-17 10:35:47,STM,DEAL-001
ORD-000744,2025-02-18 09:10:34,KMM,DEAL-004
ORD-000745,2025-02-19 12:34:00,HTB,DEAL-002
ORD-000746,2025-02-21 13:23:51,SZK,DEAL-003
ORD-000747,2025-02-24 09:03:49,KMM,DEAL-004
ORD-000748,2025-02-24 11:12:30,HMM,DEAL-005
ORD-000749,2025-02-26 15:03:48,STM,DEAL-001
ORD-000750,2025-02-28 14:13:41,SZK,DEAL-003
ORD-000751,2025-03-01 10:54:55,HTB,DEAL-002
ORD-000752,2025-03-01 11:42:40,KMM,DEAL-004
ORD-000753,2025-03-02 11:39:53,HMM,DEAL-005
ORD-000754,2025-03-05 15:57:26,SZK,DEAL-003
ORD-000755,2025-03-08 16:05:27,HTB,DEAL-002
ORD-000756,2025-03-09 16:08:59,STM,DEAL-001
ORD-000757,2025-03-11 13:02:56,SZK,DEAL-003
ORD-000758,2025-03-11 12:20:17,KMM,DEAL-004
