order_id,line_number,product_id,quantity,promised_delivery_date,pricing_date
ORD-000713,1,FRD-GB5,6,2025-01-17 12:38:40,2025-01-03
ORD-000713,2,HDE-ZC1,2,2025-01-17 12:38:40,2025-01-03
ORD-000713,3,ZRV-RZ3,2,2025-01-17 12:38:40,2025-01-03
ORD-000714,1,VZL-RV3,1,2025-01-10 10:13:38,2025-01-03
ORD-000714,2,SWN-RP6,1,2025-01-10 10:13:38,2025-01-03
ORD-000714,3,HDE-ZC1,2,2025-01-10 10:13:38,2025-01-03
ORD-000715,1,FIT-GR3,8,2025-01-25 11:28:14,2025-01-05
ORD-000716,1,NOE-JG4,4,2025-01-25 14:03:45,2025-01-06
ORD-000716,2,FRD-GB5,1,2025-01-25 14:03:45,2025-01-06
ORD-000716,3,ZRV-RZ3,1,2025-01-25 14:03:45,2025-01-06
ORD-000717,1,VZL-RV3,2,2025-01-17 10:00:47,2025-01-08
ORD-000717,2,SWN-RP6,2,2025-01-17 10:00:47,2025-01-08
ORD-000717,3,FIT-GR3,1,2025-01-17 10:00:47,2025-01-08
ORD-000718,1,SWN-RP6,5,2025-01-21 13:27:35,2025-01-09
ORD-000718,2,ZRV-RZ3,1,2025-01-21 13:27:35,2025-01-09
ORD-000718,3,VZL-RV3,3,2025-01-21 13:27:35,2025-01-09
ORD-000719,1,FIT-GR3,10,2025-01-23 10:30:00,2025-01-12
ORD-000720,1,HDE-ZC1,1,2025-02-03 08:22:24,2025-01-14
ORD-000720,2,VZL-RV3,1,2025-02-03 08:22:24,2025-01-14
ORD-000721,1,SWN-RP6,2,2025-02-02 15:28:14,2025-01-16
ORD-000721,2,NOE-JG4,4,2025-02-02 15:28:14,2025-01-16
ORD-000721,3,FRD-GB5,2,2025-02-02 15:28:14,2025-01-16
ORD-000722,1,SWN-RP6,2,2025-01-25 17:03:45,2025-01-17
ORD-000722,2,HDE-ZC1,7,2025-01-25 17:03:45,2025-01-17
ORD-000723,1,ZRV-RZ3,1,2025-02-09 14:01:40,2025-01-19
ORD-000723,2,FIT-GR3,1,2025-02-09 14:01:40,2025-01-19
ORD-000724,1,FRD-GB5,8,2025-02-04 11:03:13,2025-01-21
ORD-000725,1,SWN-RP6,3,2025-02-04 10:47:01,2025-01-21
ORD-000725,2,FRD-GB5,1,2025-02-04 10:47:01,2025-01-21
ORD-000725,3,FIT-GR3,1,2025-02-04 10:47:01,2025-01-21
ORD-000726,1,SWN-RP6,4,2025-02-05 08:54:28,2025-01-27
ORD-000726,2,ZRV-RZ3,5,2025-02-05 08:54:28,2025-01-27
ORD-000727,1,ZRV-RZ3,7,2025-02-08 08:45:29,2025-01-27
ORD-000727,2,SWN-RP6,3,2025-02-08 08:45:29,2025-01-27
ORD-000728,1,VZL-RV3,10,2025-02-10 10:31:28,2025-01-27
ORD-000729,1,SWN-RP6,10,2025-02-17 09:24:34,2025-01-28
ORD-000730,1,SWN-RP6,1,2025-02-09 09:34:23,2025-01-29
ORD-000730,2,HDE-ZC1,1,2025-02-09 09:34:23,2025-01-29
ORD-000731,1,ENP-ENP1,10,2025-02-10 08:22:56,2025-02-01
ORD-000731,2,PRO-ZC5,13,2025-02-10 08:22:56,2025-02-01
ORD-000732,1,ENP-ENP1,21,2025-02-11 11:57:25,2025-02-01
ORD-000732,2,RDG-YF6,19,2025-02-11 11:57:25,2025-02-01
ORD-000732,3,ODY-RC1,5,2025-02-11 11:57:25,2025-02-01
ORD-000732,4,PRO-ZC5,5,2025-02-11 11:57:25,2025-02-01
ORD-000733,1,ENP-ENP1,25,2025-02-21 15:59:13,2025-02-01
ORD-000733,2,ACD-CV1,23,2025-02-21 15:59:13,2025-02-01
ORD-000734,1,VZL-RV3,5,2025-02-14 16:06:48,2025-02-04
ORD-000734,2,FRD-GB5,4,2025-02-14 16:06:48,2025-02-04
ORD-000735,1,FRD-GB5,5,2025-02-17 12:21:45,2025-02-04
ORD-000735,2,NOE-JG4,5,2025-02-17 12:21:45,2025-02-04
ORD-000736,1,HDE-ZC1,6,2025-02-16 12:48:27,2025-02-06
ORD-000737,1,NOE-JG4,1,2025-02-15 13:59:51,2025-02-06
ORD-000737,2,VZL-RV3,1,2025-02-15 13:59:51,2025-02-06
ORD-000737,3,FIT-GR3,1,2025-02-15 13:59:51,2025-02-06
ORD-000738,1,FRD-GB5,1,2025-02-27 09:49:16,2025-02-07
ORD-000738,2,FIT-GR3,2,2025-02-27 09:49:16,2025-02-07
ORD-000739,1,ZRV-RZ3,2,2025-03-02 08:03:34,2025-02-12
ORD-000740,1,FRD-GB5,10,2025-02-21 17:40:28,2025-02-13
ORD-000741,1,SWN-RP6,10,2025-02-24 14:00:44,2025-02-14
ORD-000742,1,SWN-RP6,1,2025-03-09 17:36:13,2025-02-16
ORD-000743,1,FRD-GB5,7,2025-03-01 10:35:47,2025-02-17
ORD-000744,1,FIT-GR3,4,2025-03-10 09:10:34,2025-02-18
ORD-000744,2,SWN-RP6,2,2025-03-10 09:10:34,2025-02-18
ORD-000745,1,HDE-ZC1,1,2025-03-05 12:34:00,2025-02-19
ORD-000745,2,FIT-GR3,1,2025-03-05 12:34:00,2025-02-19
ORD-000746,1,NOE-JG4,1,2025-03-12 13:23:51,2025-02-21
ORD-000746,2,VZL-RV3,3,2025-03-12 13:23:51,2025-02-21
ORD-000747,1,NOE-JG4,2,2025-03-11 09:03:49,2025-02-24
ORD-000747,2,FRD-GB5,6,2025-03-11 09:03:49,2025-02-24
ORD-000748,1,FIT-GR3,1,2025-03-10 11:12:30,2025-02-24
ORD-000748,2,SWN-RP6,1,2025-03-10 11:12:30,2025-02-24
ORD-000748,3,ZRV-RZ3,1,2025-03-10 11:12:30,2025-02-24
ORD-000749,1,ZRV-RZ3,5,2025-03-06 15:03:48,2025-02-26
ORD-000749,2,FRD-GB5,1,2025-03-06 15:03:48,2025-02-26
ORD-000749,3,SWN-RP6,1,2025-03-06 15:03:48,2025-02-26
ORD-000750,1,HDE-ZC1,1,2025-03-18 14:13:41,2025-02-28
ORD-000750,2,FIT-GR3,1,2025-03-18 14:13:41,2025-02-28
ORD-000750,3,ZRV-RZ3,1,2025-03-18 14:13:41,2025-02-28
ORD-000751,1,HDE-ZC1,2,2025-03-15 10:54:55,2025-03-01
ORD-000752,1,FRD-GB5,1,2025-03-17 11:42:40,2025-03-01
ORD-000752,2,NOE-JG4,1,2025-03-17 11:42:40,2025-03-01
ORD-000752,3,SWN-RP6,1,2025-03-17 11:42:40,2025-03-01
ORD-000753,1,VZL-RV3,2,2025-03-10 11:39:53,2025-03-02
ORD-000753,2,SWN-RP6,1,2025-03-10 11:39:53,2025-03-02
ORD-000753,3,ZRV-RZ3,2,2025-03-10 11:39:53,2025-03-02
ORD-000754,1,HDE-ZC1,2,2025-03-25 15:57:26,2025-03-05
ORD-000754,2,VZL-RV3,2,2025-03-25 15:57:26,2025-03-05
ORD-000754,3,ZRV-RZ3,2,2025-03-25 15:57:26,2025-03-05
ORD-000755,1,VZL-RV3,2,2025-03-20 16:05:27,2025-03-08
ORD-000755,2,FRD-GB5,5,2025-03-20 16:05:27,2025-03-08
ORD-000756,1,FIT-GR3,1,2025-03-22 16:08:59,2025-03-09
ORD-000756,2,SWN-RP6,4,2025-03-22 16:08:59,2025-03-09
ORD-000757,1,ZRV-RZ3,3,2025-03-22 13:02:56,2025-03-11
ORD-000758,1,ZRV-RZ3,3,2025-04-01 12:20:17,2025-03-11
ORD-000758,2,SWN-RP6,4,2025-04-01 12:20:17,2025-03-11
ORD-000759,1,HDE-ZC1,1,2025-03-23 13:57:27,2025-03-14
ORD-000759,2,FRD-GB5,1,2025-03-23 13:57:27,2025-03-14
ORD-000759,3,SWN-RP6,1,2025-03-23 13:57:27,2025-03-14
ORD-000760,1,FIT-GR3,5,2025-03-28 14:39:17,2025-03-14
ORD-000760,2,VZL-RV3,1,2025-03-28 14:39:17,2025-03-14
ORD-000761,1,FIT-GR3,3,2025-03-22 10:50:50,2025-03-14
ORD-000761,2,SWN-RP6,2,2025-03-22 10:50:50,2025-03-14
ORD-000761,3,HDE-ZC1,1,2025-03-22 10:50:50,2025-03-14
ORD-000762,1,ENP-ENP1,5,2025-03-29 15:58:58,2025-03-15
ORD-000762,2,ODY-RC1,8,2025-03-29 15:58:58,2025-03-15
ORD-000762,3,RDG-YF6,12,2025-03-29 15:58:58,2025-03-15
ORD-000763,1,ODY-RC1,6,2025-03-25 16:06:08,2025-03-15
ORD-000763,2,CRV-RT5,5,2025-03-25 16:06:08,2025-03-15
ORD-000763,3,PSP-YF7,5,2025-03-25 16:06:08,2025-03-15
ORD-000764,1,ENP-ENP1,44,2025-03-26 12:14:33,2025-03-15
ORD-000765,1,VZL-RV3,1,2025-03-27 13:42:35,2025-03-20
