order_id,line_number,product_id,quantity,promised_delivery_date,pricing_date
ORD-000001,1,FIT-GR3,5,2022-01-23 17:19:18,2022-01-02
ORD-000001,2,FRD-GB5,5,2022-01-23 17:19:18,2022-01-02
ORD-000002,1,NOE-JG4,1,2022-01-10 15:43:00,2022-01-03
ORD-000002,2,SWN-RP6,1,2022-01-10 15:43:00,2022-01-03
ORD-000003,1,NOE-JG4,8,2022-01-14 16:58:45,2022-01-04
ORD-000004,1,ZRV-RZ3,2,2022-01-23 17:01:56,2022-01-04
ORD-000005,1,ZRV-RZ3,6,2022-01-17 17:10:06,2022-01-07
ORD-000005,2,FIT-GR3,1,2022-01-17 17:10:06,2022-01-07
ORD-000005,3,FRD-GB5,1,2022-01-17 17:10:06,2022-01-07
ORD-000006,1,FIT-GR3,8,2022-01-16 09:42:21,2022-01-09
ORD-000007,1,VZL-RV3,2,2022-01-30 11:18:07,2022-01-11
ORD-000007,2,NOE-JG4,2,2022-01-30 11:18:07,2022-01-11
ORD-000008,1,FIT-GR3,4,2022-01-26 12:48:02,2022-01-13
ORD-000008,2,ZRV-RZ3,1,2022-01-26 12:48:02,2022-01-13
ORD-000009,1,FIT-GR3,9,2022-01-23 09:33:08,2022-01-15
ORD-000010,1,FIT-GR3,6,2022-01-24 15:02:33,2022-01-15
ORD-000010,2,NOE-JG4,3,2022-01-24 15:02:33,2022-01-15
ORD-000010,3,ZRV-RZ3,1,2022-01-24 15:02:33,2022-01-15
ORD-000011,1,CRV-RT5,39,2022-01-29 08:19:01,2022-01-15
ORD-000012,1,SWN-RP6,2,2022-01-30 16:44:40,2022-01-17
ORD-000012,2,FIT-GR3,1,2022-01-30 16:44:40,2022-01-17
ORD-000012,3,VZL-RV3,1,2022-01-30 16:44:40,2022-01-17
ORD-000013,1,ZRV-RZ3,1,2022-02-02 11:07:06,2022-01-20
ORD-000013,2,HDE-ZC1,4,2022-02-02 11:07:06,2022-01-20
ORD-000013,3,FIT-GR3,3,2022-02-02 11:07:06,2022-01-20
ORD-000014,1,VZL-RV3,8,2022-02-04 08:53:48,2022-01-20
ORD-000015,1,FRD-GB5,1,2022-02-07 08:54:20,2022-01-24
ORD-000015,2,SWN-RP6,1,2022-02-07 08:54:20,2022-01-24
ORD-000015,3,FIT-GR3,1,2022-02-07 08:54:20,2022-01-24
ORD-000016,1,FIT-GR3,9,2022-02-09 16:04:19,2022-01-26
ORD-000017,1,VZL-RV3,3,2022-02-06 16:11:16,2022-01-27
ORD-000017,2,FRD-GB5,1,2022-02-06 16:11:16,2022-01-27
ORD-000017,3,SWN-RP6,2,2022-02-06 16:11:16,2022-01-27
