order_id,order_timestamp,location_id,customer_id
ORD-000001,2022-01-02 17:19:18,A4,DEAL-004
ORD-000002,2022-01-03 15:43:00,A2,DEAL-002
ORD-000003,2022-01-04 16:58:45,A1,DEAL-001
ORD-000004,2022-01-04 17:01:56,A3,DEAL-003
ORD-000005,2022-01-07 17:10:06,A5,DEAL-005
ORD-000006,2022-01-09 09:42:21,A2,DEAL-002
ORD-000007,2022-01-11 11:18:07,A4,DEAL-004
ORD-000008,2022-01-13 12:48:02,A3,DEAL-003
ORD-000009,2022-01-15 09:33:08,A1,DEAL-001
ORD-000010,2022-01-15 15:02:33,A2,DEAL-002
ORD-000011,2022-01-15 08:19:01,A1,DEAL-006
ORD-000012,2022-01-17 16:44:40,A5,DEAL-005
ORD-000013,2022-01-20 11:07:06,A2,DEAL-002
ORD-000014,2022-01-20 08:53:48,A4,DEAL-004
ORD-000015,2022-01-24 08:54:20,A3,DEAL-003
ORD-000016,2022-01-26 16:04:19,A4,DEAL-004
ORD-000017,2022-01-27 16:11:16,A1,DEAL-001
ORD-000018,2022-01-27 16:47:17,A5,DEAL-005
ORD-000019,2022-01-30 16:33:47,A2,DEAL-002
ORD-000020,2022-02-01 17:25:39,A2,DEAL-007
ORD-000021,2022-02-01 12:08:48,A3,DEAL-008
ORD-000022,2022-02-02 12:23:50,A3,DEAL-003
ORD-000023,2022-02-04 10:03:54,A4,DEAL-004
ORD-000024,2022-02-06 17:31:07,A1,DEAL-001
ORD-000025,2022-02-07 15:31:03,A5,DEAL-005
ORD-000026,2022-02-09 12:09:46,A2,DEAL-002
ORD-000027,2022-02-09 10:53:07,A3,DEAL-003
ORD-000028,2022-02-09 16:17:36,A4,DEAL-004
ORD-000029,2022-02-11 08:11:27,A1,DEAL-001
ORD-000030,2022-02-15 14:00:53,A5,DEAL-005
ORD-000031,2022-02-18 10:03:06,A1,DEAL-001
ORD-000032,2022-02-18 17:55:36,A2,DEAL-002
ORD-000033,2022-02-21 15:02:28,A3,DEAL-003
ORD-000034,2022-02-21 11:00:35,A4,DEAL-004
ORD-000035,2022-02-21 11:47:32,A5,DEAL-005
ORD-000036,2022-02-24 16:08:07,A2,DEAL-002
ORD-000037,2022-02-26 09:57:12,A1,DEAL-001
ORD-000038,2022-02-26 12:37:10,A3,DEAL-003
ORD-000039,2022-02-27 16:12:36,A4,DEAL-004
ORD-000040,2022-03-01 09:07:52,A5,DEAL-005
ORD-000041,2022-03-01 14:39:06,A1,DEAL-006
ORD-000042,2022-03-03 15:44:13,A3,DEAL-003
ORD-000043,2022-03-04 14:22:54,A1,DEAL-001
ORD-000044,2022-03-05 09:18:53,A2,DEAL-002
ORD-000045,2022-03-06 12:15:53,A4,DEAL-004
ORD-000046,2022-03-07 16:35:34,A3,DEAL-008
ORD-000047,2022-03-08 09:43:51,A5,DEAL-005
ORD-000048,2022-03-13 08:32:30,A1,DEAL-001
ORD-000049,2022-03-13 11:00:38,A2,DEAL-002
ORD-000050,2022-03-15 11:42:01,A3,DEAL-003
ORD-000051,2022-03-15 16:23:16,A4,DEAL-004
ORD-000052,2022-03-15 14:16:08,A5,DEAL-005
ORD-000053,2022-03-15 09:11:55,A2,DEAL-007
ORD-000054,2022-03-20 11:05:45,A3,DEAL-003
ORD-000055,2022-03-21 08:12:19,A1,DEAL-001
ORD-000056,2022-03-21 12:30:15,A2,DEAL-002
ORD-000057,2022-03-25 17:02:53,A4,DEAL-004
ORD-000058,2022-03-26 09:49:39,A5,DEAL-005
ORD-000059,2022-03-28 17:20:39,A2,DEAL-002
ORD-000060,2022-03-31 14:29:41,A1,DEAL-001
ORD-000061,2022-04-01 16:58:29,A3,DEAL-003
ORD-000062,2022-04-01 17:37:34,A1,DEAL-006
ORD-000063,2022-04-03 12:44:58,A2,DEAL-002
ORD-000064,2022-04-03 08:50:34,A4,DEAL-004
ORD-000065,2022-04-04 14:16:12,A5,DEAL-005
ORD-000066,2022-04-05 13:04:14,A1,DEAL-001
ORD-000067,2022-04-08 12:08:01,A3,DEAL-003
ORD-000068,2022-04-12 11:40:00,A4,DEAL-004
ORD-000069,2022-04-14 15:10:24,A2,DEAL-002
ORD-000070,2022-04-14 08:01:37,A5,DEAL-005
ORD-000071,2022-04-15 16:04:47,A1,DEAL-001
ORD-000072,2022-04-15 08:40:20,A3,DEAL-008
ORD-000073,2022-04-20 12:43:51,A3,DEAL-003
ORD-000074,2022-04-21 14:21:57,A5,DEAL-005
ORD-000075,2022-04-23 15:30:09,A4,DEAL-004
ORD-000076,2022-04-24 15:52:22,A2,DEAL-002
ORD-000077,2022-04-27 15:42:22,A1,DEAL-001
ORD-000078,2022-04-29 09:08:05,A3,DEAL-003
ORD-000079,2022-05-01 14:48:29,A2,DEAL-002
ORD-000080,2022-05-01 08:31:45,A4,DEAL-004
ORD-000081,2022-05-01 15:43:16,A2,DEAL-007
ORD-000082,2022-05-02 13:17:05,A5,DEAL-005
ORD-000083,2022-05-04 12:36:26,A1,DEAL-001
ORD-000084,2022-05-05 16:58:12,A3,DEAL-003
ORD-000085,2022-05-07 08:27:25,A2,DEAL-002
ORD-000086,2022-05-12 15:37:20,A3,DEAL-003
ORD-000087,2022-05-13 17:07:15,A4,DEAL-004
ORD-000088,2022-05-13 11:36:10,A5,DEAL-005
ORD-000089,2022-05-15 17:24:29,A1,DEAL-001
ORD-000090,2022-05-15 16:02:09,A2,DEAL-002
ORD-000091,2022-05-15 15:57:10,A1,DEAL-006
ORD-000092,2022-05-19 12:03:48,A5,DEAL-005
ORD-000093,2022-05-21 09:49:11,A2,DEAL-002
ORD-000094,2022-05-22 10:39:20,A1,DEAL-001
ORD-000095,2022-05-22 11:37:36,A3,DEAL-003
ORD-000096,2022-05-23 17:51:05,A4,DEAL-004
ORD-000097,2022-05-30 08:19:08,A2,DEAL-002
ORD-000098,2022-05-30 09:24:47,A5,DEAL-005
ORD-000099,2022-06-01 12:55:57,A1,DEAL-001
ORD-000100,2022-06-01 17:10:30,A3,DEAL-003
ORD-000101,2022-06-01 09:51:48,A4,DEAL-004
ORD-000102,2022-06-01 14:00:54,A3,DEAL-008
ORD-000103,2022-06-08 12:07:58,A5,DEAL-005
ORD-000104,2022-06-09 08:27:51,A2,DEAL-002
ORD-000105,2022-06-12 15:04:44,A1,DEAL-001
ORD-000106,2022-06-12 10:31:03,A3,DEAL-003
ORD-000107,2022-06-12 08:16:58,A4,DEAL-004
ORD-000108,2022-06-14 12:30:52,A5,DEAL-005
ORD-000109,2022-06-15 09:21:45,A1,DEAL-006
ORD-000110,2022-06-15 13:35:22,A2,DEAL-007
ORD-000111,2022-06-18 12:12:02,A1,DEAL-001
ORD-000112,2022-06-20 10:58:01,A2,DEAL-002
ORD-000113,2022-06-21 13:46:37,A3,DEAL-003
ORD-000114,2022-06-23 09:48:59,A5,DEAL-005
ORD-000115,2022-06-24 12:16:35,A4,DEAL-004
ORD-000116,2022-06-27 16:31:28,A2,DEAL-002
ORD-000117,2022-06-29 12:28:02,A1,DEAL-001
ORD-000118,2022-06-29 08:35:10,A5,DEAL-005
ORD-000119,2022-07-03 17:15:09,A2,DEAL-002
ORD-000120,2022-07-03 10:30:32,A3,DEAL-003
ORD-000121,2022-07-06 16:14:16,A4,DEAL-004
ORD-000122,2022-07-08 08:18:29,A2,DEAL-002
ORD-000123,2022-07-11 10:13:57,A1,DEAL-001
ORD-000124,2022-07-11 13:00:36,A5,DEAL-005
ORD-000125,2022-07-12 10:23:59,A3,DEAL-003
ORD-000126,2022-07-13 17:24:28,A4,DEAL-004
ORD-000127,2022-07-15 17:42:26,A3,DEAL-008
ORD-000128,2022-07-19 09:29:51,A5,DEAL-005
ORD-000129,2022-07-20 12:55:16,A2,DEAL-002
ORD-000130,2022-07-20 16:00:17,A3,DEAL-003
ORD-000131,2022-07-21 08:56:37,A4,DEAL-004
ORD-000132,2022-07-23 08:22:47,A1,DEAL-001
ORD-000133,2022-07-25 08:56:38,A2,DEAL-002
