order_id,line_number,product_id,quantity,promised_delivery_date,pricing_date
ORD-000001,1,F101000,5,2022-01-23 17:19:18,2022-01-02
ORD-000001,2,F102000,5,2022-01-23 17:19:18,2022-01-02
ORD-000002,1,F202000,1,2022-01-10 15:43:00,2022-01-03
ORD-000002,2,F104000,1,2022-01-10 15:43:00,2022-01-03
ORD-000003,1,F202000,8,2022-01-14 16:58:45,2022-01-04
ORD-000004,1,F110000,2,2022-01-23 17:01:56,2022-01-04
ORD-000005,1,F110000,6,2022-01-17 17:10:06,2022-01-07
ORD-000005,2,F101000,1,2022-01-17 17:10:06,2022-01-07
ORD-000005,3,F102000,1,2022-01-17 17:10:06,2022-01-07
ORD-000006,1,F101000,8,2022-01-16 09:42:21,2022-01-09
ORD-000007,1,F103000,2,2022-01-30 11:18:07,2022-01-11
ORD-000007,2,F202000,2,2022-01-30 11:18:07,2022-01-11
ORD-000008,1,F101000,4,2022-01-26 12:48:02,2022-01-13
ORD-000008,2,F110000,1,2022-01-26 12:48:02,2022-01-13
ORD-000009,1,F101000,9,2022-01-23 09:33:08,2022-01-15
ORD-000010,1,F101000,6,2022-01-24 15:02:33,2022-01-15
ORD-000010,2,F202000,3,2022-01-24 15:02:33,2022-01-15
ORD-000010,3,F110000,1,2022-01-24 15:02:33,2022-01-15
ORD-000011,1,F105000,39,2022-01-29 08:19:01,2022-01-15
ORD-000012,1,F104000,2,2022-01-30 16:44:40,2022-01-17
ORD-000012,2,F101000,1,2022-01-30 16:44:40,2022-01-17
ORD-000012,3,F103000,1,2022-01-30 16:44:40,2022-01-17
ORD-000013,1,F110000,1,2022-02-02 11:07:06,2022-01-20
ORD-000013,2,F201000,4,2022-02-02 11:07:06,2022-01-20
ORD-000013,3,F101000,3,2022-02-02 11:07:06,2022-01-20
ORD-000014,1,F103000,8,2022-02-04 08:53:48,2022-01-20
ORD-000015,1,F102000,1,2022-02-07 08:54:20,2022-01-24
ORD-000015,2,F104000,1,2022-02-07 08:54:20,2022-01-24
ORD-000015,3,F101000,1,2022-02-07 08:54:20,2022-01-24
ORD-000016,1,F101000,9,2022-02-09 16:04:19,2022-01-26
ORD-000017,1,F103000,3,2022-02-06 16:11:16,2022-01-27
ORD-000017,2,F102000,1,2022-02-06 16:11:16,2022-01-27
ORD-000017,3,F104000,2,2022-02-06 16:11:16,2022-01-27
ORD-000018,1,F104000,1,2022-02-04 16:47:17,2022-01-27
ORD-000018,2,F103000,2,2022-02-04 16:47:17,2022-01-27
ORD-000018,3,F201000,6,2022-02-04 16:47:17,2022-01-27
