shipment_id,shipment_timestamp,location_id,customer_id
SEI-road-20250102-001,2025-01-03 04:12:18,KMM,DEAL-004
SEI-road-20250107-001,2025-01-07 23:14:18,SZK,DEAL-003
YML-sea-20250101-001,2025-01-01 23:40:25,KMM,DEAL-004
YML-road-20250106-001,2025-01-06 20:56:25,KMM,DEAL-004
HNT-road-20250101-001,2025-01-02 07:49:33,HMM,DEAL-005
HNT-air-20250107-001,2025-01-08 09:14:33,HMM,DEAL-005
NPL-sea-20250108-001,2025-01-08 22:03:40,STM,DEAL-001
HNT-sea-20250108-001,2025-01-09 03:46:40,STM,DEAL-001
SEI-road-20250105-001,2025-01-05 23:35:38,HTB,DEAL-002
NPL-road-20250107-001,2025-01-08 00:13:38,HTB,DEAL-002
HNL-air-20250110-001,2025-01-10 22:19:14,KMM,DEAL-004
HNL-road-20250118-001,2025-01-19 02:47:45,SZK,DEAL-003
SEI-road-20250124-001,2025-01-25 00:18:45,SZK,DEAL-003
SEI-air-20250111-001,2025-01-11 21:11:47,HTB,DEAL-002
HNT-road-20250119-001,2025-01-20 00:51:35,HMM,DEAL-005
HNL-road-20250117-001,2025-01-18 00:00:35,HMM,DEAL-005
HNL-sea-20250116-001,2025-01-16 23:21:00,STM,DEAL-001
HNT-air-20250123-001,2025-01-23 18:01:24,KMM,DEAL-004
HNT-air-20250129-001,2025-01-30 03:44:14,SZK,DEAL-003
NPL-road-20250128-001,2025-01-28 23:48:14,SZK,DEAL-003
YML-road-20250120-001,2025-01-21 09:21:45,HTB,DEAL-002
HNT-air-20250124-001,2025-01-25 06:33:45,HTB,DEAL-002
HNL-sea-20250201-001,2025-02-01 23:01:40,KMM,DEAL-004
HNT-air-20250124-002,2025-01-25 03:35:13,STM,DEAL-001
SEI-road-20250121-001,2025-01-22 03:28:13,STM,DEAL-001
NPL-road-20250123-001,2025-01-23 19:33:13,STM,DEAL-001
YML-road-20250124-001,2025-01-25 00:58:01,HMM,DEAL-005
YML-road-20250125-001,2025-01-25 20:01:01,HMM,DEAL-005
SEI-air-20250203-001,2025-02-03 19:05:01,HMM,DEAL-005
SEI-sea-20250129-001,2025-01-29 22:35:28,STM,DEAL-001
SEI-air-20250127-001,2025-01-27 20:36:28,STM,DEAL-001
HNL-air-20250205-001,2025-02-05 17:25:29,HTB,DEAL-002
YML-road-20250207-001,2025-02-07 17:44:29,HTB,DEAL-002
NPL-sea-20250202-001,2025-02-02 20:08:28,KMM,DEAL-004
HNT-air-20250130-001,2025-01-30 19:42:28,KMM,DEAL-004
SEI-road-20250205-001,2025-02-06 00:51:34,SZK,DEAL-003
SEI-sea-20250206-001,2025-02-06 20:36:34,SZK,DEAL-003
SEI-air-20250205-001,2025-02-05 22:30:34,SZK,DEAL-003
YML-road-20250205-001,2025-02-05 23:06:23,HMM,DEAL-005
HNL-sea-20250205-001,2025-02-05 16:50:56,STM,DEAL-006
HNT-sea-20250207-001,2025-02-07 22:13:56,STM,DEAL-006
NPL-road-20250209-001,2025-02-09 20:54:25,HTB,DEAL-007
NPL-sea-20250208-001,2025-02-09 00:08:25,HTB,DEAL-007
SEI-sea-20250203-001,2025-02-03 21:44:25,HTB,DEAL-007
SEI-air-20250205-002,2025-02-06 07:02:13,SZK,DEAL-008
YML-road-20250217-001,2025-02-18 06:42:13,SZK,DEAL-008
NPL-road-20250207-001,2025-02-08 06:35:13,SZK,DEAL-008
SEI-road-20250207-001,2025-02-08 08:55:48,HTB,DEAL-002
HNT-road-20250213-001,2025-02-13 20:48:45,SZK,DEAL-003
YML-air-20250211-001,2025-02-11 23:34:27,STM,DEAL-001
HNL-air-20250209-001,2025-02-10 03:11:27,STM,DEAL-001
HNT-air-20250211-001,2025-02-11 23:33:27,STM,DEAL-001
NPL-road-20250208-001,2025-02-09 00:17:51,HMM,DEAL-005
YML-sea-20250225-001,2025-02-25 19:06:16,KMM,DEAL-004
SEI-road-20250220-001,2025-02-20 20:38:16,KMM,DEAL-004
HNT-sea-20250215-001,2025-02-15 20:07:34,KMM,DEAL-004
NPL-air-20250212-001,2025-02-12 22:37:34,KMM,DEAL-004
HNL-air-20250220-001,2025-02-21 04:06:28,HMM,DEAL-005
HNL-sea-20250218-001,2025-02-19 06:30:44,HTB,DEAL-002
HNL-sea-20250216-001,2025-02-16 23:39:44,HTB,DEAL-002
HNT-sea-20250307-001,2025-03-08 10:08:13,SZK,DEAL-003
NPL-air-20250221-001,2025-02-21 23:27:47,STM,DEAL-001
HNT-sea-20250225-001,2025-02-25 19:22:47,STM,DEAL-001
NPL-sea-20250221-001,2025-02-21 18:35:47,STM,DEAL-001
HNT-air-20250223-001,2025-02-24 01:59:34,KMM,DEAL-004
NPL-air-20250302-001,2025-03-02 17:17:34,KMM,DEAL-004
SEI-road-20250219-001,2025-02-19 21:37:00,HTB,DEAL-002
HNL-sea-20250226-001,2025-02-27 00:13:51,SZK,DEAL-003
YML-sea-20250306-001,2025-03-07 00:24:51,SZK,DEAL-003
SEI-road-20250227-001,2025-02-28 00:02:49,KMM,DEAL-004
NPL-air-20250225-001,2025-02-25 23:36:49,KMM,DEAL-004
NPL-sea-20250225-001,2025-02-25 20:58:30,HMM,DEAL-005
SEI-air-20250304-001,2025-03-05 06:10:48,STM,DEAL-001
YML-sea-20250302-001,2025-03-03 07:36:48,STM,DEAL-001
HNL-road-20250304-001,2025-03-05 05:32:41,SZK,DEAL-003
HNL-road-20250304-002,2025-03-05 02:33:55,HTB,DEAL-002
HNT-air-20250302-001,2025-03-02 23:57:40,KMM,DEAL-004
YML-air-20250303-001,2025-03-03 21:37:53,HMM,DEAL-005
SEI-sea-20250303-002,2025-03-03 20:43:53,HMM,DEAL-005
SEI-road-20250315-001,2025-03-16 04:57:26,SZK,DEAL-003
HNT-road-20250312-001,2025-03-13 02:15:27,HTB,DEAL-002
NPL-road-20250310-001,2025-03-11 08:58:27,HTB,DEAL-002
NPL-sea-20250315-001,2025-03-16 08:34:27,HTB,DEAL-002
HNT-road-20250319-001,2025-03-20 08:57:59,STM,DEAL-001
SEI-sea-20250312-001,2025-03-13 05:26:59,STM,DEAL-001
YML-air-20250312-001,2025-03-13 04:19:59,STM,DEAL-001
YML-road-20250317-001,2025-03-18 01:18:56,SZK,DEAL-003
SEI-air-20250320-001,2025-03-20 20:27:17,KMM,DEAL-004
NPL-sea-20250321-001,2025-03-21 23:08:27,STM,DEAL-001
NPL-air-20250326-001,2025-03-27 02:43:17,HTB,DEAL-002
