shipment_id,order_id,line_number,product_id,quantity,carrier_name,transportation_mode,planned_ship_date,actual_ship_timestamp,expected_ship_date,actual_arrival_timestamp,delivery_status
SHP-2025-001,ORD-00001,1,FIT-GR3,12,ホンダロジスティクス,road,2025-11-14,2025-11-14 08:00:00,2025-11-14,2025-11-16 10:30:00,delivered
SHP-2025-002,ORD-00001,2,FRD-GB5,8,ホンダロジスティクス,road,2025-11-14,2025-11-14 09:30:00,2025-11-14,2025-11-16 11:45:00,delivered
SHP-2025-003,ORD-00002,1,VZL-RV3,15,ヤマト運輸,road,2025-11-15,2025-11-15 10:15:00,2025-11-15,2025-11-17 14:20:00,delivered
SHP-2025-004,ORD-00003,1,SWN-RP6,10,佐川急便,road,2025-11-16,2025-11-16 08:45:00,2025-11-16,2025-11-18 09:30:00,delivered
SHP-2025-005,ORD-00003,2,CRV-RT5,18,ホンダロジスティクス,road,2025-11-16,2025-11-16 14:20:00,2025-11-16,2025-11-18 16:15:00,delivered
SHP-2025-006,ORD-00004,1,ODY-RC1,22,日本通運,sea,2025-11-17,2025-11-18 09:00:00,2025-11-17,2025-11-20 11:30:00,in_transit
SHP-2025-007,ORD-00005,1,PLT-YF3,25,ホンダロジスティクス,sea,2025-11-18,2025-11-19 11:30:00,2025-11-18,2025-11-22 14:45:00,in_transit
SHP-2025-008,ORD-00006,1,RDG-YF6,20,福山通運,road,2025-11-19,2025-11-19 13:15:00,2025-11-19,2025-11-21 15:20:00,delivered
SHP-2025-009,ORD-00007,1,PSP-YF7,16,ヤマト運輸,road,2025-11-20,2025-11-20 10:45:00,2025-11-20,2025-11-22 12:30:00,delivered
SHP-2025-010,ORD-00008,1,ZRV-RZ3,14,佐川急便,road,2025-11-21,2025-11-21 15:00:00,2025-11-21,2025-11-23 16:45:00,delivered
SHP-2025-011,ORD-00009,1,ACD-CV1,19,ホンダロジスティクス,road,2025-11-22,2025-11-22 09:30:00,2025-11-22,2025-11-24 11:15:00,delivered
,
,
,
,
,
