purchase_order_id,order_date,expected_delivery_date,supplier_id,supplier_name,account_group,location_id,purchase_order_number,currency,order_subtotal_ex_tax,shipping_fee_ex_tax,tax_amount,discount_amount_incl_tax,order_total_incl_tax,order_status,approver,payment_method,payment_confirmation_id,payment_date,payment_amount
PO-2024-002221,2025-01-02,2025-01-03,SUP-IND-001,インダストリアル商事,DIRECT_MATERIAL,STM,PO-NUM-00011395,JPY,458946.0,9843.636363636362,45893.0,3391,512276.0,received,高橋美咲,bank_transfer,PAY-00011395,2025-02-01,512276.0
PO-2025-002222,2025-01-07,2025-01-07,SUP-TEC-001,テックサプライ株式会社,MRO,HTB,PO-NUM-00011396,JPY,259144.0,10816.363636363636,25913.0,1197,295758.0,received,佐藤花子,現金,PAY-00011396,2025-02-06,295758.0
PO-2025-002223,2025-01-14,2025-01-16,SUP-OFC-001,オフィスマート株式会社,MRO,HTB,PO-NUM-00011397,JPY,173342.0,8411.818181818182,17333.0,3007,196921.0,received,山本進,現金,PAY-00011397,2025-02-13,196921.0
PO-2025-002224,2025-01-14,2025-01-18,SUP-OFC-001,オフィスマート株式会社,MRO,SZK,PO-NUM-00011398,JPY,223186.0,11178.181818181818,22318.0,3081,254719.0,received,高橋美咲,現金,PAY-00011398,2025-02-13,254719.0
PO-2025-002225,2025-01-21,2025-01-26,SUP-OFC-001,オフィスマート株式会社,DIRECT_MATERIAL,STM,PO-NUM-00011399,JPY,133746.0,4538.181818181818,13374.0,2048,150064.0,received,田中一郎,bank_transfer,PAY-00011399,2025-02-20,150064.0
PO-2025-002226,2025-01-29,2025-01-30,SUP-IND-001,インダストリアル商事,MRO,SZK,PO-NUM-00011400,JPY,274695.0,11943.636363636362,27468.0,2819,312482.0,received,鈴木次郎,手形,PAY-00011400,2025-02-28,312482.0
PO-2025-002227,2025-02-04,2025-02-07,SUP-AMZ-001,アマゾンジャパン合同会社,DIRECT_MATERIAL,HTB,PO-NUM-00011401,JPY,170336.0,7562.727272727272,17032.0,1925,193762.0,received,小林誠,銀行振込,PAY-00011401,2025-03-06,193762.0
PO-2025-002228,2025-02-09,2025-02-12,SUP-IND-001,インダストリアル商事,MRO,HMM,PO-NUM-00011402,JPY,298314.0,9460.90909090909,29831.0,2866,335686.0,received,高橋美咲,銀行振込,PAY-00011402,2025-03-11,335686.0
PO-2025-002229,2025-02-13,2025-02-16,SUP-AMZ-001,アマゾンジャパン合同会社,DIRECT_MATERIAL,SZK,PO-NUM-00011403,JPY,126162.0,4353.636363636363,12615.0,1247,142319.0,received,山田太郎,現金,PAY-00011403,2025-03-15,142319.0
PO-2025-002230,2025-02-20,2025-02-23,SUP-TEC-001,テックサプライ株式会社,MRO,HMM,PO-NUM-00011404,JPY,236407.0,14011.81818181818,23639.0,3479,271980.0,received,小林誠,銀行振込,PAY-00011404,2025-03-22,271980.0
PO-2025-002231,2025-02-26,2025-03-01,SUP-AMZ-001,アマゾンジャパン合同会社,MRO,HMM,PO-NUM-00011405,JPY,274886.0,7684.545454545454,27487.0,4483,306343.0,received,山田太郎,現金,PAY-00011405,2025-03-28,306343.0
PO-2025-002232,2025-03-05,2025-03-06,SUP-TEC-001,テックサプライ株式会社,MRO,HMM,PO-NUM-00011406,JPY,194053.0,6732.727272727272,19404.0,799,220064.0,received,高橋美咲,銀行振込,PAY-00011406,2025-04-04,220064.0
PO-2025-002233,2025-03-07,2025-03-11,SUP-OFC-001,オフィスマート株式会社,DIRECT_MATERIAL,HTB,PO-NUM-00011407,JPY,110368.0,6250.90909090909,11036.0,1875,126405.0,received,田中一郎,手形,PAY-00011407,2025-04-06,126405.0
PO-2025-002234,2025-03-16,2025-03-19,SUP-TEC-001,テックサプライ株式会社,DIRECT_MATERIAL,HTB,PO-NUM-00011408,JPY,281574.0,10387.272727272726,28156.0,4087,317069.0,received,山本進,手形,PAY-00011408,2025-04-15,317069.0
