partner_id,partner_name,partner_type,partner_category,tax_id,address,city,state_province,postal_code,country,contact_person,contact_email,contact_phone,payment_terms,credit_limit,currency,is_active,account_group,region,valid_from,valid_to
SUP-AMZ-001,アマゾンジャパン合同会社,supplier,mro_supplier,0108-01-014713,目黒1-8-1,目黒区,東京都,153-0063,JP,鈴木太郎,t.suzuki@amazon.example.com,03-1234-5678,NET30,50000000,JPY,active,Honda Motor,domestic,2020-01-15,9999-12-31
SUP-TEC-001,テックサプライ株式会社,supplier,mro_supplier,1234-01-567890,西新宿2-3-4,新宿区,東京都,160-0023,JP,佐藤花子,h.sato@techsupply.example.com,03-2345-6789,NET45,20000000,JPY,active,Honda Motor,domestic,2021-03-10,9999-12-31
SUP-OFC-001,オフィスマート株式会社,supplier,mro_supplier,2345-01-678901,丸の内1-5-6,千代田区,東京都,100-0005,JP,田中次郎,j.tanaka@officemart.example.com,03-3456-7890,NET30,15000000,JPY,active,Honda Motor,domestic,2019-08-20,9999-12-31
SUP-IND-001,インダストリアル商事,supplier,mro_supplier,3456-01-789012,西新井3-7-8,足立区,東京都,123-0845,JP,山田三郎,s.yamada@industrial.example.com,03-4567-8901,NET30,25000000,JPY,active,Honda Motor,domestic,2020-11-05,9999-12-31
SUP-AUTO-001,デンソー,supplier,tier1_supplier,9011-05-001093,昭和町1-1,刈谷市,愛知県,448-8661,JP,伊藤誠,m.ito@denso.example.com,0566-25-5511,NET60,500000000,JPY,active,Honda Motor,domestic,2018-04-01,9999-12-31
SUP-ELEC-001,パナソニックオートモーティブシステムズ,supplier,tier1_supplier,4210-01-037465,門真1-1-1,門真市,大阪府,571-8501,JP,佐藤美咲,m.sato@panasonic-auto.example.com,06-6908-1121,NET60,400000000,JPY,active,Honda Motor,domestic,2018-04-01,9999-12-31
SUP-EXHA-001,フタバ産業,supplier,tier1_supplier,6180-01-007534,川合町1,岡崎市,愛知県,444-8555,JP,高橋健一,k.takahashi@futaba.example.com,0564-31-2211,NET60,200000000,JPY,active,Honda Motor,domestic,2019-01-15,9999-12-31
SUP-SUSP-001,ヨロズ,supplier,tier1_supplier,8012-01-001883,幸町3-7-8,横浜市,神奈川県,222-8555,JP,小林達也,t.kobayashi@yorozu.example.com,045-474-0001,NET60,250000000,JPY,active,Honda Motor,domestic,2018-06-01,9999-12-31
SUP-AUTO-002,アイシン,supplier,tier1_supplier,5180-01-012772,朝日町3-1,刈谷市,愛知県,448-8650,JP,渡辺修,o.watanabe@aisin.example.com,0566-24-8000,NET60,450000000,JPY,active,Honda Motor,domestic,2018-04-01,9999-12-31
SUP-ELEC-002,ボッシュ,supplier,tier1_supplier,DE123456789,Postfach 10 60 50,Stuttgart,Baden-Württemberg,70049,DE,Hans Mueller,h.mueller@bosch.example.com,+49-711-811-0,NET60,350000000,EUR,active,Honda Motor,overseas,2019-03-20,9999-12-31
SUP-EV-001,CATL,supplier,tier1_supplier,CN91350100MA2XN0Q420,Jiaocheng District,Ningde,Fujian,352100,CN,Wang Wei,w.wang@catl.example.com,+86-593-885-5999,NET45,800000000,CNY,active,Honda Motor,overseas,2020-06-01,9999-12-31
SUP-EV-002,LGエナジーソリューション,supplier,tier1_supplier,KR110111-0007909,Yeoui-daero 128,Seoul,Seoul,07336,KR,Kim Min-Jun,m.kim@lges.example.com,+82-2-3773-1114,NET45,750000000,KRW,active,Honda Motor,overseas,2020-08-15,9999-12-31
SUP-EV-003,BYD,supplier,tier1_supplier,CN91440300192371261H,Yan'an Road 3009,Shenzhen,Guangdong,518118,CN,Li Qiang,q.li@byd.example.com,+86-755-8988-8888,NET45,700000000,CNY,active,Honda Motor,overseas,2021-02-10,9999-12-31
SUP-AUTO-003,ジヤトコ,supplier,tier1_supplier,3012-01-003446,河内工業団地1-1,富士市,静岡県,417-8585,JP,中村真一,s.nakamura@jatco.example.com,0545-71-1111,NET60,300000000,JPY,active,Honda Motor,domestic,2018-07-01,9999-12-31
SUP-SUSP-002,KYB,supplier,tier1_supplier,6010-01-004845,南町1-12-4,港区,東京都,105-6111,JP,鈴木健二,k.suzuki@kyb.example.com,03-3435-3511,NET60,280000000,JPY,active,Honda Motor,domestic,2019-05-20,9999-12-31
SUP-SUSP-003,日立Astemo,supplier,tier1_supplier,1010-01-101822,昭島町2-5-1,昭島市,東京都,196-8666,JP,山本雄介,y.yamamoto@hitachi-astemo.example.com,042-543-5111,NET60,350000000,JPY,active,Honda Motor,domestic,2018-04-01,9999-12-31
SUP-EXHA-002,日本発条,supplier,tier1_supplier,2010-01-014496,新山下3-1-12,横浜市,神奈川県,231-8527,JP,加藤光男,m.kato@nhk-spring.example.com,045-621-7111,NET60,180000000,JPY,active,Honda Motor,domestic,2019-09-01,9999-12-31
SUP-EXHA-003,日本特殊陶業,supplier,tier1_supplier,9180-01-005508,竹の山1-1,長久手市,愛知県,480-1120,JP,伊藤浩二,k.ito@ngkntk.example.com,0561-62-5151,NET60,150000000,JPY,active,Honda Motor,domestic,2020-02-15,9999-12-31
