purchase_order_id,order_date,expected_delivery_date,supplier_id,supplier_name,account_group,location_id,purchase_order_number,currency,order_subtotal_ex_tax,shipping_fee_ex_tax,tax_amount,discount_amount_incl_tax,order_total_incl_tax,order_status,approver,payment_method,payment_confirmation_id,payment_date,payment_amount
PO-2022-000001,2022-01-03,2022-01-10,SUP-002,住友電気工業株式会社,DIRECT_MATERIAL,HTB,PO-NUM-00000002,JPY,507,300,50,0,857,received,田中一郎,bank_transfer,PAY-00000002,2022-02-07,857
PO-2022-000002,2022-01-03,2022-01-10,SUP-002,住友電気工業株式会社,DIRECT_MATERIAL,HTB,PO-NUM-00000003,JPY,9460,500,946,0,10906,received,山田太郎,bank_transfer,PAY-00000003,2022-02-09,10906
PO-2022-000003,2022-01-03,2022-01-10,SUP-001,日本製鉄株式会社,DIRECT_MATERIAL,HTB,PO-NUM-00000004,JPY,9345,800,934,0,11079,received,田中一郎,bank_transfer,PAY-00000004,2022-02-11,11079
PO-2022-000004,2022-01-03,2022-01-10,SUP-005,矢崎総業株式会社,DIRECT_MATERIAL,HTB,PO-NUM-00000005,JPY,51101,500,5110,0,56711,received,田中一郎,bank_transfer,PAY-00000005,2022-02-10,56711
PO-2022-000005,2022-01-03,2022-01-10,SUP-001,日本製鉄株式会社,DIRECT_MATERIAL,HTB,PO-NUM-00000006,JPY,6062,300,606,0,6968,received,山田太郎,bank_transfer,PAY-00000006,2022-02-09,6968
PO-2022-000006,2022-01-03,2022-01-10,SUP-003,デンソー株式会社,DIRECT_MATERIAL,HTB,PO-NUM-00000007,JPY,43159,800,4315,0,48274,received,田中一郎,bank_transfer,PAY-00000007,2022-02-09,48274
PO-2022-000007,2022-01-03,2022-01-10,SUP-002,住友電気工業株式会社,DIRECT_MATERIAL,HTB,PO-NUM-00000008,JPY,15920,300,1592,0,17812,received,山田太郎,bank_transfer,PAY-00000008,2022-02-09,17812
PO-2022-000008,2022-01-03,2022-01-10,SUP-003,デンソー株式会社,DIRECT_MATERIAL,HTB,PO-NUM-00000009,JPY,22604,0,2260,0,24864,received,田中一郎,bank_transfer,PAY-00000009,2022-02-08,24864
PO-2022-000009,2022-01-15,2022-01-22,SUP-002,住友電気工業株式会社,DIRECT_MATERIAL,STM,PO-NUM-00000010,JPY,9720,300,972,0,10992,received,鈴木次郎,bank_transfer,PAY-00000010,2022-02-22,10992
PO-2022-000010,2022-01-15,2022-01-22,SUP-003,デンソー株式会社,DIRECT_MATERIAL,STM,PO-NUM-00000011,JPY,11268,500,1126,0,12894,received,山田太郎,bank_transfer,PAY-00000011,2022-02-20,12894
PO-2022-000011,2022-01-15,2022-01-22,SUP-005,矢崎総業株式会社,DIRECT_MATERIAL,STM,PO-NUM-00000012,JPY,47115,800,4711,0,52626,received,鈴木次郎,bank_transfer,PAY-00000012,2022-02-22,52626
