purchase_order_id,order_date,expected_delivery_date,supplier_id,supplier_name,account_group,location_id,purchase_order_number,currency,order_subtotal_ex_tax,shipping_fee_ex_tax,tax_amount,discount_amount_incl_tax,order_total_incl_tax,order_status,approver,payment_method,payment_confirmation_id,payment_date,payment_amount
PO-2022-000001,2022-01-01,2022-01-03,SUP-EXHA-002,日本発条,MRO,HMM,PO-NUM-00000001,JPY,34176.0,2602.7272727272725,3417.0,597,39859.0,received,小林誠,現金,PAY-00000001,2022-01-31,39859.0
PO-2022-000002,2022-01-05,2022-01-05,SUP-ELEC-001,パナソニックオートモーティブシステムズ,MRO,KMM,PO-NUM-00000002,JPY,13812.0,1644.5454545454545,1380.0,326,16675.0,received,小林誠,bank_transfer,PAY-00000002,2022-02-04,16675.0
PO-2022-000003,2022-01-01,2022-01-02,SUP-EV-001,CATL,MRO,HMM,PO-NUM-00000003,JPY,28080.0,2654.5454545454545,2808.0,501,33307.0,received,佐藤花子,現金,PAY-00000003,2022-01-31,33307.0
PO-2022-000004,2021-12-31,2022-01-04,SUP-EXHA-002,日本発条,MRO,SZK,PO-NUM-00000004,JPY,5264772.0,2380.0,526476.0,96782,5697084.0,received,山本進,bank_transfer,PAY-00000004,2022-01-30,5697084.0
PO-2022-000005,2022-01-04,2022-01-09,SUP-EV-001,CATL,MRO,HTB,PO-NUM-00000005,JPY,1239624.0,2956.363636363636,123962.0,5008,1361829.0,received,小林誠,bank_transfer,PAY-00000005,2022-02-03,1361829.0
PO-2022-000006,2022-01-06,2022-01-10,SUP-AUTO-001,デンソー,MRO,HTB,PO-NUM-00000006,JPY,636816.0,2908.181818181818,63681.0,15396,688300.0,received,小林誠,bank_transfer,PAY-00000006,2022-02-05,688300.0
PO-2022-000007,2022-01-07,2022-01-10,SUP-EXHA-003,日本特殊陶業,MRO,STM,PO-NUM-00000007,JPY,255552.0,1775.4545454545453,25555.0,4180,278880.0,received,小林誠,銀行振込,PAY-00000007,2022-02-06,278880.0
PO-2022-000008,2022-01-10,2022-01-12,SUP-SUSP-003,日立Astemo,MRO,SZK,PO-NUM-00000008,JPY,535080.0,1309.090909090909,53508.0,13020,577008.0,received,山本進,手形,PAY-00000008,2022-02-09,577008.0
PO-2022-000009,2021-12-30,2022-01-04,SUP-EV-001,CATL,DIRECT_MATERIAL,SZK,PO-NUM-00000009,JPY,522936.0,2916.363636363636,52293.0,7586,570852.0,received,山本進,現金,PAY-00000009,2022-01-29,570852.0
PO-2022-000010,2022-01-01,2022-01-03,SUP-EV-001,CATL,DIRECT_MATERIAL,STM,PO-NUM-00000010,JPY,483936.0,2222.7272727272725,48393.0,2404,532370.0,received,高橋美咲,現金,PAY-00000010,2022-01-31,532370.0
PO-2022-000011,2021-12-29,2022-01-03,SUP-ELEC-001,パナソニックオートモーティブシステムズ,DIRECT_MATERIAL,SZK,PO-NUM-00000011,JPY,1137744.0,1753.6363636363635,113774.0,22478,1230969.0,received,佐藤花子,bank_transfer,PAY-00000011,2022-01-28,1230969.0
PO-2022-000012,2022-01-10,2022-01-10,SUP-AUTO-002,アイシン,DIRECT_MATERIAL,HMM,PO-NUM-00000012,JPY,532644.0,2657.272727272727,53263.0,8755,580075.0,received,高橋美咲,bank_transfer,PAY-00000012,2022-02-09,580075.0
PO-2022-000013,2022-01-06,2022-01-09,SUP-AUTO-002,アイシン,MRO,KMM,PO-NUM-00000013,JPY,1041900.0,1585.4545454545453,104188.0,19984,1127848.0,received,山本進,現金,PAY-00000013,2022-02-05,1127848.0
PO-2022-000014,2022-01-10,2022-01-10,SUP-EXHA-002,日本発条,MRO,HMM,PO-NUM-00000014,JPY,521184.0,2908.181818181818,52118.0,16363,560138.0,received,山本進,銀行振込,PAY-00000014,2022-02-09,560138.0
PO-2022-000015,2022-01-07,2022-01-07,SUP-EXHA-001,フタバ産業,MRO,HTB,PO-NUM-00000015,JPY,512088.0,2626.363636363636,51208.0,6967,559219.0,received,佐藤花子,銀行振込,PAY-00000015,2022-02-06,559219.0
PO-2022-000016,2021-12-31,2022-01-01,SUP-EV-001,CATL,DIRECT_MATERIAL,KMM,PO-NUM-00000016,JPY,523992.0,1677.272727272727,52399.0,5064,573172.0,received,佐藤花子,手形,PAY-00000016,2022-01-30,573172.0
PO-2022-000017,2022-01-10,2022-01-11,SUP-EV-003,BYD,MRO,SZK,PO-NUM-00000017,JPY,964560.0,2781.818181818181,96456.0,2356,1061719.0,received,田中一郎,bank_transfer,PAY-00000017,2022-02-09,1061719.0
PO-2022-000018,2022-01-06,2022-01-07,SUP-SUSP-001,ヨロズ,MRO,SZK,PO-NUM-00000018,JPY,1088856.0,1756.3636363636365,108885.0,20616,1179057.0,received,高橋美咲,現金,PAY-00000018,2022-02-05,1179057.0
PO-2022-000019,2022-01-03,2022-01-05,SUP-AUTO-001,デンソー,MRO,KMM,PO-NUM-00000019,JPY,964560.0,2247.272727272727,96456.0,5815,1057672.0,received,鈴木次郎,bank_transfer,PAY-00000019,2022-02-02,1057672.0
PO-2022-000020,2021-12-30,2022-01-04,SUP-ELEC-001,パナソニックオートモーティブシステムズ,MRO,STM,PO-NUM-00000020,JPY,57960.0,3987.272727272727,5796.0,1503,66639.0,received,山田太郎,現金,PAY-00000020,2022-01-29,66639.0
PO-2022-000021,2022-01-02,2022-01-04,SUP-SUSP-002,KYB,MRO,HMM,PO-NUM-00000021,JPY,24480.0,1865.4545454545453,2448.0,327,28653.0,received,山本進,銀行振込,PAY-00000021,2022-02-01,28653.0
PO-2022-000022,2022-01-01,2022-01-02,SUP-ELEC-001,パナソニックオートモーティブシステムズ,DIRECT_MATERIAL,KMM,PO-NUM-00000022,JPY,21330.0,2301.818181818181,2133.0,264,25731.0,received,山本進,bank_transfer,PAY-00000022,2022-01-31,25731.0
PO-2022-000023,2022-01-07,2022-01-12,SUP-SUSP-002,KYB,MRO,HTB,PO-NUM-00000023,JPY,7611885.0,1467.2727272727273,761187.0,82290,8292396.0,received,鈴木次郎,手形,PAY-00000023,2022-02-06,8292396.0
