product_id,product_name,location_id,inventory_quantity,inventory_status,last_updated_timestamp
FIT-GR3,FIT,HMM,2,available,2024-12-31 23:59:59
FRD-GB5,FREED,HMM,9,available,2024-12-31 23:59:59
HDE-ZC1,Honda e,HMM,5,available,2024-12-31 23:59:59
NOE-JG4,N-ONE e:,HMM,5,available,2024-12-31 23:59:59
SWN-RP6,STEP WGN,HMM,6,available,2024-12-31 23:59:59
VZL-RV3,VEZEL,HMM,10,available,2024-12-31 23:59:59
ZRV-RZ3,ZR-V,HMM,2,available,2024-12-31 23:59:59
ACD-CV1,ACCORD,HTB,35,available,2024-12-31 23:59:59
CRV-RT5,CR-V,HTB,0,available,2024-12-31 23:59:59
ENP-ENP1,e:NP1,HTB,0,available,2024-12-31 23:59:59
FIT-GR3,FIT,HTB,2,available,2024-12-31 23:59:59
FRD-GB5,FREED,HTB,0,available,2024-12-31 23:59:59
HDE-ZC1,Honda e,HTB,4,available,2024-12-31 23:59:59
NOE-JG4,N-ONE e:,HTB,8,available,2024-12-31 23:59:59
ODY-RC1,ODYSSEY,HTB,10,available,2024-12-31 23:59:59
PLT-YF3,PILOT,HTB,5,available,2024-12-31 23:59:59
PRO-ZC5,Prologue,HTB,0,available,2024-12-31 23:59:59
PSP-YF7,PASSPORT,HTB,7,available,2024-12-31 23:59:59
RDG-YF6,RIDGELINE,HTB,6,available,2024-12-31 23:59:59
SWN-RP6,STEP WGN,HTB,4,available,2024-12-31 23:59:59
VZL-RV3,VEZEL,HTB,6,available,2024-12-31 23:59:59
ZRV-RZ3,ZR-V,HTB,9,available,2024-12-31 23:59:59
FIT-GR3,FIT,KMM,1,available,2024-12-31 23:59:59
FRD-GB5,FREED,KMM,5,available,2024-12-31 23:59:59
HDE-ZC1,Honda e,KMM,3,available,2024-12-31 23:59:59
NOE-JG4,N-ONE e:,KMM,2,available,2024-12-31 23:59:59
SWN-RP6,STEP WGN,KMM,5,available,2024-12-31 23:59:59
VZL-RV3,VEZEL,KMM,6,available,2024-12-31 23:59:59
ZRV-RZ3,ZR-V,KMM,7,available,2024-12-31 23:59:59
ACD-CV1,ACCORD,STM,0,available,2024-12-31 23:59:59
CRV-RT5,CR-V,STM,5,available,2024-12-31 23:59:59
ENP-ENP1,e:NP1,STM,14,available,2024-12-31 23:59:59
FIT-GR3,FIT,STM,0,available,2024-12-31 23:59:59
FRD-GB5,FREED,STM,6,available,2024-12-31 23:59:59
HDE-ZC1,Honda e,STM,8,available,2024-12-31 23:59:59
NOE-JG4,N-ONE e:,STM,5,available,2024-12-31 23:59:59
ODY-RC1,ODYSSEY,STM,6,available,2024-12-31 23:59:59
PLT-YF3,PILOT,STM,13,available,2024-12-31 23:59:59
PRO-ZC5,Prologue,STM,11,available,2024-12-31 23:59:59
PSP-YF7,PASSPORT,STM,15,available,2024-12-31 23:59:59
RDG-YF6,RIDGELINE,STM,1,available,2024-12-31 23:59:59
SWN-RP6,STEP WGN,STM,7,available,2024-12-31 23:59:59
VZL-RV3,VEZEL,STM,4,available,2024-12-31 23:59:59
ZRV-RZ3,ZR-V,STM,1,available,2024-12-31 23:59:59
ACD-CV1,ACCORD,SZK,5,available,2024-12-31 23:59:59
CRV-RT5,CR-V,SZK,6,available,2024-12-31 23:59:59
ENP-ENP1,e:NP1,SZK,18,available,2024-12-31 23:59:59
FIT-GR3,FIT,SZK,11,available,2024-12-31 23:59:59
FRD-GB5,FREED,SZK,7,available,2024-12-31 23:59:59
HDE-ZC1,Honda e,SZK,3,available,2024-12-31 23:59:59
NOE-JG4,N-ONE e:,SZK,4,available,2024-12-31 23:59:59
ODY-RC1,ODYSSEY,SZK,11,available,2024-12-31 23:59:59
PLT-YF3,PILOT,SZK,11,available,2024-12-31 23:59:59
PRO-ZC5,Prologue,SZK,5,available,2024-12-31 23:59:59
PSP-YF7,PASSPORT,SZK,8,available,2024-12-31 23:59:59
RDG-YF6,RIDGELINE,SZK,2,available,2024-12-31 23:59:59
SWN-RP6,STEP WGN,SZK,4,available,2024-12-31 23:59:59
VZL-RV3,VEZEL,SZK,4,available,2024-12-31 23:59:59
ZRV-RZ3,ZR-V,SZK,11,available,2024-12-31 23:59:59
