product_id,product_name,location_id,year_month,inventory_quantity,inventory_status,snapshot_date
FIT-GR3,FIT,STM,2024-12,680,available,2024-12-31
FIT-GR3,FIT,STM,2025-01,720,available,2025-01-31
FIT-GR3,FIT,STM,2025-02,650,available,2025-02-28
FIT-GR3,FIT,STM,2025-03,710,available,2025-03-31
FIT-GR3,FIT,STM,2025-04,690,available,2025-04-30
FIT-GR3,FIT,STM,2025-05,730,available,2025-05-31
FIT-GR3,FIT,STM,2025-06,670,available,2025-06-30
FIT-GR3,FIT,STM,2025-07,700,available,2025-07-31
FIT-GR3,FIT,STM,2025-08,720,available,2025-08-31
FIT-GR3,FIT,STM,2025-09,680,available,2025-09-30
FIT-GR3,FIT,STM,2025-10,710,available,2025-10-31
FIT-GR3,FIT,STM,2025-11,695,available,2025-11-30
ZRV-RZ3,ZR-V,STM,2024-12,640,available,2024-12-31
ZRV-RZ3,ZR-V,STM,2025-01,670,available,2025-01-31
ZRV-RZ3,ZR-V,STM,2025-02,610,available,2025-02-28
ZRV-RZ3,ZR-V,STM,2025-03,680,available,2025-03-31
ZRV-RZ3,ZR-V,STM,2025-04,650,available,2025-04-30
ZRV-RZ3,ZR-V,STM,2025-05,690,available,2025-05-31
ZRV-RZ3,ZR-V,STM,2025-06,630,available,2025-06-30
ZRV-RZ3,ZR-V,STM,2025-07,670,available,2025-07-31
ZRV-RZ3,ZR-V,STM,2025-08,660,available,2025-08-31
ZRV-RZ3,ZR-V,STM,2025-09,640,available,2025-09-30
ZRV-RZ3,ZR-V,STM,2025-10,685,available,2025-10-31
ZRV-RZ3,ZR-V,STM,2025-11,655,available,2025-11-30
FRD-GB5,FREED,STM,2024-12,600,available,2024-12-31
FRD-GB5,FREED,STM,2025-01,630,available,2025-01-31
FRD-GB5,FREED,STM,2025-02,590,available,2025-02-28
FRD-GB5,FREED,STM,2025-03,620,available,2025-03-31
FRD-GB5,FREED,STM,2025-04,610,available,2025-04-30
FRD-GB5,FREED,STM,2025-05,640,available,2025-05-31
FRD-GB5,FREED,STM,2025-06,595,available,2025-06-30
FRD-GB5,FREED,STM,2025-07,625,available,2025-07-31
FRD-GB5,FREED,STM,2025-08,615,available,2025-08-31
FRD-GB5,FREED,STM,2025-09,600,available,2025-09-30
FRD-GB5,FREED,STM,2025-10,635,available,2025-10-31
FRD-GB5,FREED,STM,2025-11,605,available,2025-11-30
SWN-RP6,STEP WGN,STM,2024-12,460,available,2024-12-31
SWN-RP6,STEP WGN,STM,2025-01,490,available,2025-01-31
SWN-RP6,STEP WGN,STM,2025-02,450,available,2025-02-28
SWN-RP6,STEP WGN,STM,2025-03,480,available,2025-03-31
SWN-RP6,STEP WGN,STM,2025-04,470,available,2025-04-30
SWN-RP6,STEP WGN,STM,2025-05,500,available,2025-05-31
SWN-RP6,STEP WGN,STM,2025-06,460,available,2025-06-30
SWN-RP6,STEP WGN,STM,2025-07,485,available,2025-07-31
SWN-RP6,STEP WGN,STM,2025-08,475,available,2025-08-31
SWN-RP6,STEP WGN,STM,2025-09,465,available,2025-09-30
SWN-RP6,STEP WGN,STM,2025-10,495,available,2025-10-31
SWN-RP6,STEP WGN,STM,2025-11,480,available,2025-11-30
VZL-RV3,VEZEL,HTB,2024-12,530,available,2024-12-31
VZL-RV3,VEZEL,HTB,2025-01,560,available,2025-01-31
VZL-RV3,VEZEL,HTB,2025-02,510,available,2025-02-28
VZL-RV3,VEZEL,HTB,2025-03,550,available,2025-03-31
VZL-RV3,VEZEL,HTB,2025-04,540,available,2025-04-30
VZL-RV3,VEZEL,HTB,2025-05,570,available,2025-05-31
VZL-RV3,VEZEL,HTB,2025-06,525,available,2025-06-30
VZL-RV3,VEZEL,HTB,2025-07,555,available,2025-07-31
VZL-RV3,VEZEL,HTB,2025-08,545,available,2025-08-31
VZL-RV3,VEZEL,HTB,2025-09,535,available,2025-09-30
VZL-RV3,VEZEL,HTB,2025-10,565,available,2025-10-31
VZL-RV3,VEZEL,HTB,2025-11,550,available,2025-11-30
CRV-RT5,CR-V,HTB,2024-12,430,available,2024-12-31
CRV-RT5,CR-V,HTB,2025-01,460,available,2025-01-31
CRV-RT5,CR-V,HTB,2025-02,420,available,2025-02-28
CRV-RT5,CR-V,HTB,2025-03,450,available,2025-03-31
CRV-RT5,CR-V,HTB,2025-04,440,available,2025-04-30
CRV-RT5,CR-V,HTB,2025-05,470,available,2025-05-31
CRV-RT5,CR-V,HTB,2025-06,435,available,2025-06-30
CRV-RT5,CR-V,HTB,2025-07,455,available,2025-07-31
CRV-RT5,CR-V,HTB,2025-08,445,available,2025-08-31
CRV-RT5,CR-V,HTB,2025-09,430,available,2025-09-30
CRV-RT5,CR-V,HTB,2025-10,465,available,2025-10-31
CRV-RT5,CR-V,HTB,2025-11,450,available,2025-11-30
ACD-CV1,ACCORD,HMM,2024-12,400,available,2024-12-31
ACD-CV1,ACCORD,HMM,2025-01,430,available,2025-01-31
ACD-CV1,ACCORD,HMM,2025-02,390,available,2025-02-28
ACD-CV1,ACCORD,HMM,2025-03,420,available,2025-03-31
ACD-CV1,ACCORD,HMM,2025-04,410,available,2025-04-30
ACD-CV1,ACCORD,HMM,2025-05,440,available,2025-05-31
ACD-CV1,ACCORD,HMM,2025-06,405,available,2025-06-30
ACD-CV1,ACCORD,HMM,2025-07,425,available,2025-07-31
ACD-CV1,ACCORD,HMM,2025-08,415,available,2025-08-31
ACD-CV1,ACCORD,HMM,2025-09,400,available,2025-09-30
ACD-CV1,ACCORD,HMM,2025-10,435,available,2025-10-31
ACD-CV1,ACCORD,HMM,2025-11,420,available,2025-11-30
PSP-YF7,PASSPORT,HTB,2024-12,280,available,2024-12-31
PSP-YF7,PASSPORT,HTB,2025-01,320,available,2025-01-31
PSP-YF7,PASSPORT,HTB,2025-02,0,available,2025-02-28
PSP-YF7,PASSPORT,HTB,2025-03,250,available,2025-03-31
PSP-YF7,PASSPORT,HTB,2025-04,310,available,2025-04-30
PSP-YF7,PASSPORT,HTB,2025-05,45,available,2025-05-31
PSP-YF7,PASSPORT,HTB,2025-06,290,available,2025-06-30
PSP-YF7,PASSPORT,HTB,2025-07,330,available,2025-07-31
PSP-YF7,PASSPORT,HTB,2025-08,380,available,2025-08-31
PSP-YF7,PASSPORT,HTB,2025-09,15,available,2025-09-30
PSP-YF7,PASSPORT,HTB,2025-10,270,available,2025-10-31
PSP-YF7,PASSPORT,HTB,2025-11,340,available,2025-11-30
ODY-RC1,ODYSSEY,SZK,2024-12,230,available,2024-12-31
ODY-RC1,ODYSSEY,SZK,2025-01,0,available,2025-01-31
ODY-RC1,ODYSSEY,SZK,2025-02,210,available,2025-02-28
ODY-RC1,ODYSSEY,SZK,2025-03,270,available,2025-03-31
ODY-RC1,ODYSSEY,SZK,2025-04,30,available,2025-04-30
ODY-RC1,ODYSSEY,SZK,2025-05,250,available,2025-05-31
ODY-RC1,ODYSSEY,SZK,2025-06,290,available,2025-06-30
ODY-RC1,ODYSSEY,SZK,2025-07,0,available,2025-07-31
ODY-RC1,ODYSSEY,SZK,2025-08,240,available,2025-08-31
ODY-RC1,ODYSSEY,SZK,2025-09,300,available,2025-09-30
ODY-RC1,ODYSSEY,SZK,2025-10,280,available,2025-10-31
ODY-RC1,ODYSSEY,SZK,2025-11,25,available,2025-11-30
PLT-YF3,PILOT,SZK,2024-12,140,available,2024-12-31
PLT-YF3,PILOT,SZK,2025-01,180,available,2025-01-31
PLT-YF3,PILOT,SZK,2025-02,20,available,2025-02-28
PLT-YF3,PILOT,SZK,2025-03,160,available,2025-03-31
PLT-YF3,PILOT,SZK,2025-04,200,available,2025-04-30
PLT-YF3,PILOT,SZK,2025-05,0,available,2025-05-31
