product_id,product_name,location_id,inventory_quantity,inventory_status,last_updated_timestamp
F101000,FIT,A1,720,available,2025-11-18 09:00:00
F101000,FIT,A1,45,available,2025-11-18 08:30:00
F110000,HR-V,A1,680,available,2025-11-18 09:00:00
F110000,HR-V,A1,38,available,2025-11-18 08:30:00
F102000,FREED,A1,620,available,2025-11-18 09:00:00
F102000,FREED,A1,35,available,2025-11-18 08:30:00
F104000,STEP WGN,A1,480,available,2025-11-18 09:00:00
F104000,STEP WGN,A1,28,available,2025-11-18 08:30:00
F103000,VEZEL,A2,550,available,2025-11-18 09:00:00
F103000,VEZEL,A2,32,available,2025-11-18 08:30:00
F105000,CR-V,A2,450,available,2025-11-18 09:00:00
F105000,CR-V,A2,25,available,2025-11-18 08:30:00
F109000,PASSPORT,A2,380,available,2025-11-18 09:00:00
F109000,PASSPORT,A2,22,available,2025-11-18 08:30:00
F106000,ODYSSEY,A3,280,available,2025-11-18 09:00:00
F106000,ODYSSEY,A3,15,available,2025-11-18 08:30:00
F107000,PILOT,A3,180,available,2025-11-18 09:00:00
F107000,PILOT,A3,12,available,2025-11-18 08:30:00
F108000,RIDGELINE,A4,220,available,2025-11-18 09:00:00
F108000,RIDGELINE,A4,10,available,2025-11-18 08:30:00
F111000,ACCORD,A5,420,available,2025-11-18 09:00:00
F111000,ACCORD,A5,20,available,2025-11-18 08:30:00
F201000,Honda e,A2,320,available,2025-11-18 09:00:00
F201000,Honda e,A2,18,available,2025-11-18 08:30:00
F202000,N-ONE e:,A2,280,available,2025-11-18 09:00:00
F202000,N-ONE e:,A2,15,available,2025-11-18 08:30:00
F203000,e:NP1,A2,420,available,2025-11-18 09:00:00
F203000,e:NP1,A2,25,available,2025-11-18 08:30:00
F204000,Prologue,A2,150,available,2025-11-18 09:00:00
F204000,Prologue,A2,8,available,2025-11-18 08:30:00
