shipment_id,order_id,line_number,product_id,quantity,carrier_name,transportation_mode,planned_ship_date,actual_ship_timestamp,expected_ship_date,actual_arrival_timestamp,delivery_status
YML-road-20220118-001,ORD-000001,1,FIT-GR3,5,ヤマトロジスティクス,road,2022-01-18,2022-01-19 09:25:18,2022-01-18,2022-01-23 03:02:18,delivered
YML-road-20220118-001,ORD-000001,2,FRD-GB5,5,ヤマトロジスティクス,road,2022-01-18,2022-01-19 09:25:18,2022-01-18,2022-01-23 03:02:18,delivered
NPL-air-20220106-001,ORD-000002,1,NOE-JG4,1,日本通運,air,2022-01-06,2022-01-07 03:56:00,2022-01-06,2022-01-13 13:11:00,delayed
NPL-air-20220106-001,ORD-000002,2,SWN-RP6,1,日本通運,air,2022-01-06,2022-01-07 03:56:00,2022-01-06,2022-01-13 13:11:00,delayed
HNL-road-20220105-001,ORD-000003,1,NOE-JG4,8,ホンダロジスティクス,road,2022-01-05,2022-01-06 06:32:45,2022-01-05,2022-01-12 19:38:45,delivered
HNL-sea-20220121-001,ORD-000004,1,ZRV-RZ3,2,ホンダロジスティクス,sea,2022-01-21,2022-01-22 04:47:56,2022-01-21,2022-01-26 14:10:56,delayed
SEI-sea-20220113-001,ORD-000005,1,ZRV-RZ3,6,西濃運輸,sea,2022-01-13,2022-01-14 02:16:06,2022-01-13,2022-01-19 11:31:06,delayed
SEI-sea-20220113-001,ORD-000005,2,FIT-GR3,1,西濃運輸,sea,2022-01-13,2022-01-14 02:16:06,2022-01-13,2022-01-19 11:31:06,delayed
SEI-sea-20220113-001,ORD-000005,3,FRD-GB5,1,西濃運輸,sea,2022-01-13,2022-01-14 02:16:06,2022-01-13,2022-01-19 11:31:06,delayed
HNT-air-20220114-001,ORD-000006,1,FIT-GR3,4,ホンダトランスポート,air,2022-01-14,2022-01-15 00:40:21,2022-01-14,2022-01-21 13:02:21,delayed
YML-air-20220112-001,ORD-000006,1,FIT-GR3,4,ヤマトロジスティクス,air,2022-01-12,2022-01-12 23:59:21,2022-01-12,2022-01-16 12:59:21,delayed
NPL-air-20220114-001,ORD-000007,1,VZL-RV3,1,日本通運,air,2022-01-14,2022-01-14 22:06:07,2022-01-14,2022-01-17 06:43:07,delivered
NPL-air-20220114-001,ORD-000007,2,NOE-JG4,1,日本通運,air,2022-01-14,2022-01-14 22:06:07,2022-01-14,2022-01-17 06:43:07,delivered
NPL-sea-20220128-001,ORD-000007,1,VZL-RV3,1,日本通運,sea,2022-01-28,2022-01-28 23:02:07,2022-01-28,2022-01-31 07:41:07,delayed
NPL-sea-20220128-001,ORD-000007,2,NOE-JG4,1,日本通運,sea,2022-01-28,2022-01-28 23:02:07,2022-01-28,2022-01-31 07:41:07,delayed
HNT-sea-20220123-001,ORD-000008,1,FIT-GR3,1,ホンダトランスポート,sea,2022-01-23,2022-01-24 04:26:02,2022-01-23,2022-01-25 22:02:02,delivered
HNL-sea-20220124-001,ORD-000008,1,FIT-GR3,1,ホンダロジスティクス,sea,2022-01-24,2022-01-25 04:07:02,2022-01-24,2022-01-28 16:20:02,delayed
HNT-road-20220116-001,ORD-000008,1,FIT-GR3,2,ホンダトランスポート,road,2022-01-16,2022-01-17 00:24:02,2022-01-16,2022-01-22 16:51:02,delivered
HNT-road-20220116-001,ORD-000008,2,ZRV-RZ3,1,ホンダトランスポート,road,2022-01-16,2022-01-17 00:24:02,2022-01-16,2022-01-22 16:51:02,delivered
HNL-road-20220117-001,ORD-000009,1,FIT-GR3,3,ホンダロジスティクス,road,2022-01-17,2022-01-17 21:45:08,2022-01-17,2022-01-22 06:20:08,delivered
YML-air-20220117-001,ORD-000009,1,FIT-GR3,3,ヤマトロジスティクス,air,2022-01-17,2022-01-17 19:20:08,2022-01-17,2022-01-24 07:42:08,delayed
NPL-air-20220120-001,ORD-000009,1,FIT-GR3,3,日本通運,air,2022-01-20,2022-01-20 22:16:08,2022-01-20,2022-01-27 15:42:08,delayed
HNL-air-20220121-001,ORD-000010,1,FIT-GR3,3,ホンダロジスティクス,air,2022-01-21,2022-01-22 04:46:33,2022-01-21,2022-01-27 14:36:33,delayed
HNL-air-20220121-001,ORD-000010,2,NOE-JG4,1,ホンダロジスティクス,air,2022-01-21,2022-01-22 04:46:33,2022-01-21,2022-01-27 14:36:33,delayed
YML-sea-20220117-001,ORD-000010,1,FIT-GR3,3,ヤマトロジスティクス,sea,2022-01-17,2022-01-18 02:36:33,2022-01-17,2022-01-24 18:16:33,delayed
YML-sea-20220117-001,ORD-000010,2,NOE-JG4,2,ヤマトロジスティクス,sea,2022-01-17,2022-01-18 02:36:33,2022-01-17,2022-01-24 18:16:33,delayed
YML-sea-20220117-001,ORD-000010,3,ZRV-RZ3,1,ヤマトロジスティクス,sea,2022-01-17,2022-01-18 02:36:33,2022-01-17,2022-01-24 18:16:33,delayed
HNT-road-20220122-001,ORD-000011,1,CRV-RT5,13,ホンダトランスポート,road,2022-01-22,2022-01-22 22:37:01,2022-01-22,2022-01-24 09:03:01,delivered
YML-air-20220126-001,ORD-000011,1,CRV-RT5,13,ヤマトロジスティクス,air,2022-01-26,2022-01-26 16:37:01,2022-01-26,2022-02-02 01:15:01,delayed
YML-sea-20220122-001,ORD-000011,1,CRV-RT5,13,ヤマトロジスティクス,sea,2022-01-22,2022-01-22 16:26:01,2022-01-22,2022-01-27 10:22:01,delivered
YML-sea-20220123-001,ORD-000012,1,SWN-RP6,2,ヤマトロジスティクス,sea,2022-01-23,2022-01-24 09:32:40,2022-01-23,2022-01-25 21:16:40,delivered
YML-sea-20220123-001,ORD-000012,2,FIT-GR3,1,ヤマトロジスティクス,sea,2022-01-23,2022-01-24 09:32:40,2022-01-23,2022-01-25 21:16:40,delivered
YML-sea-20220123-001,ORD-000012,3,VZL-RV3,1,ヤマトロジスティクス,sea,2022-01-23,2022-01-24 09:32:40,2022-01-23,2022-01-25 21:16:40,delivered
NPL-sea-20220126-001,ORD-000013,1,ZRV-RZ3,1,日本通運,sea,2022-01-26,2022-01-26 23:30:06,2022-01-26,2022-01-30 15:56:06,delivered
NPL-sea-20220126-001,ORD-000013,2,HDE-ZC1,4,日本通運,sea,2022-01-26,2022-01-26 23:30:06,2022-01-26,2022-01-30 15:56:06,delivered
NPL-sea-20220126-001,ORD-000013,3,FIT-GR3,3,日本通運,sea,2022-01-26,2022-01-26 23:30:06,2022-01-26,2022-01-30 15:56:06,delivered
YML-air-20220203-001,ORD-000014,1,VZL-RV3,2,ヤマトロジスティクス,air,2022-02-03,2022-02-04 00:20:48,2022-02-03,2022-02-06 09:20:48,delayed
YML-air-20220126-002,ORD-000014,1,VZL-RV3,2,ヤマトロジスティクス,air,2022-01-26,2022-01-26 18:47:48,2022-01-26,2022-01-31 08:02:48,delivered
YML-road-20220128-001,ORD-000014,1,VZL-RV3,4,ヤマトロジスティクス,road,2022-01-28,2022-01-28 21:03:48,2022-01-28,2022-01-30 11:46:48,delivered
YML-road-20220125-001,ORD-000015,1,FRD-GB5,1,ヤマトロジスティクス,road,2022-01-25,2022-01-25 17:49:20,2022-01-25,2022-01-31 07:27:20,delivered
YML-road-20220125-001,ORD-000015,2,SWN-RP6,1,ヤマトロジスティクス,road,2022-01-25,2022-01-25 17:49:20,2022-01-25,2022-01-31 07:27:20,delivered
YML-road-20220125-001,ORD-000015,3,FIT-GR3,1,ヤマトロジスティクス,road,2022-01-25,2022-01-25 17:49:20,2022-01-25,2022-01-31 07:27:20,delivered
HNT-road-20220207-001,ORD-000016,1,FIT-GR3,4,ホンダトランスポート,road,2022-02-07,2022-02-08 08:40:19,2022-02-07,2022-02-13 22:22:19,delayed
SEI-air-20220205-001,ORD-000016,1,FIT-GR3,5,西濃運輸,air,2022-02-05,2022-02-06 05:25:19,2022-02-05,2022-02-08 19:15:19,delivered
YML-air-20220130-001,ORD-000017,1,VZL-RV3,1,ヤマトロジスティクス,air,2022-01-30,2022-01-31 08:43:16,2022-01-30,2022-02-03 00:29:16,delivered
YML-air-20220130-001,ORD-000017,3,SWN-RP6,1,ヤマトロジスティクス,air,2022-01-30,2022-01-31 08:43:16,2022-01-30,2022-02-03 00:29:16,delivered
HNL-road-20220128-001,ORD-000017,1,VZL-RV3,2,ホンダロジスティクス,road,2022-01-28,2022-01-29 03:36:16,2022-01-28,2022-02-03 16:05:16,delivered
HNL-road-20220128-001,ORD-000017,2,FRD-GB5,1,ホンダロジスティクス,road,2022-01-28,2022-01-29 03:36:16,2022-01-28,2022-02-03 16:05:16,delivered
HNL-road-20220128-001,ORD-000017,3,SWN-RP6,1,ホンダロジスティクス,road,2022-01-28,2022-01-29 03:36:16,2022-01-28,2022-02-03 16:05:16,delivered
HNL-air-20220203-001,ORD-000018,1,SWN-RP6,1,ホンダロジスティクス,air,2022-02-03,2022-02-04 06:56:17,2022-02-03,2022-02-07 00:24:17,delayed
HNL-air-20220203-001,ORD-000018,2,VZL-RV3,2,ホンダロジスティクス,air,2022-02-03,2022-02-04 06:56:17,2022-02-03,2022-02-07 00:24:17,delayed
HNL-air-20220203-001,ORD-000018,3,HDE-ZC1,6,ホンダロジスティクス,air,2022-02-03,2022-02-04 06:56:17,2022-02-03,2022-02-07 00:24:17,delayed
SEI-air-20220202-001,ORD-000019,2,HDE-ZC1,1,西濃運輸,air,2022-02-02,2022-02-03 08:47:47,2022-02-02,2022-02-09 20:46:47,delivered
NPL-sea-20220202-001,ORD-000019,2,HDE-ZC1,1,日本通運,sea,2022-02-02,2022-02-03 05:04:47,2022-02-02,2022-02-04 21:11:47,delivered
HNT-sea-20220205-001,ORD-000019,1,FRD-GB5,2,ホンダトランスポート,sea,2022-02-05,2022-02-06 03:40:47,2022-02-05,2022-02-07 18:52:47,delivered
HNT-sea-20220205-001,ORD-000019,2,HDE-ZC1,3,ホンダトランスポート,sea,2022-02-05,2022-02-06 03:40:47,2022-02-05,2022-02-07 18:52:47,delivered
HNT-sea-20220206-001,ORD-000020,1,CRV-RT5,9,ホンダトランスポート,sea,2022-02-06,2022-02-07 05:30:39,2022-02-06,2022-02-13 14:27:39,delayed
HNT-sea-20220206-001,ORD-000020,2,ODY-RC1,4,ホンダトランスポート,sea,2022-02-06,2022-02-07 05:30:39,2022-02-06,2022-02-13 14:27:39,delayed
HNT-sea-20220206-001,ORD-000020,3,PLT-YF3,1,ホンダトランスポート,sea,2022-02-06,2022-02-07 05:30:39,2022-02-06,2022-02-13 14:27:39,delayed
NPL-road-20220205-001,ORD-000020,1,CRV-RT5,9,日本通運,road,2022-02-05,2022-02-06 10:24:39,2022-02-05,2022-02-11 19:02:39,delayed
NPL-road-20220205-001,ORD-000020,2,ODY-RC1,4,日本通運,road,2022-02-05,2022-02-06 10:24:39,2022-02-05,2022-02-11 19:02:39,delayed
NPL-road-20220205-001,ORD-000020,3,PLT-YF3,1,日本通運,road,2022-02-05,2022-02-06 10:24:39,2022-02-05,2022-02-11 19:02:39,delayed
HNL-road-20220202-001,ORD-000020,1,CRV-RT5,10,ホンダロジスティクス,road,2022-02-02,2022-02-03 06:16:39,2022-02-02,2022-02-09 21:42:39,delayed
HNL-road-20220202-001,ORD-000020,2,ODY-RC1,4,ホンダロジスティクス,road,2022-02-02,2022-02-03 06:16:39,2022-02-02,2022-02-09 21:42:39,delayed
HNL-road-20220202-001,ORD-000020,3,PLT-YF3,3,ホンダロジスティクス,road,2022-02-02,2022-02-03 06:16:39,2022-02-02,2022-02-09 21:42:39,delayed
NPL-air-20220213-001,ORD-000021,1,ENP-ENP1,15,日本通運,air,2022-02-13,2022-02-14 01:47:48,2022-02-13,2022-02-20 12:25:48,delivered
NPL-air-20220213-001,ORD-000021,2,PLT-YF3,2,日本通運,air,2022-02-13,2022-02-14 01:47:48,2022-02-13,2022-02-20 12:25:48,delivered
NPL-air-20220213-001,ORD-000021,3,RDG-YF6,5,日本通運,air,2022-02-13,2022-02-14 01:47:48,2022-02-13,2022-02-20 12:25:48,delivered
HNT-road-20220201-001,ORD-000021,1,ENP-ENP1,16,ホンダトランスポート,road,2022-02-01,2022-02-02 02:49:48,2022-02-01,2022-02-06 11:51:48,delivered
HNT-road-20220201-001,ORD-000021,2,PLT-YF3,3,ホンダトランスポート,road,2022-02-01,2022-02-02 02:49:48,2022-02-01,2022-02-06 11:51:48,delivered
HNT-road-20220201-001,ORD-000021,3,RDG-YF6,6,ホンダトランスポート,road,2022-02-01,2022-02-02 02:49:48,2022-02-01,2022-02-06 11:51:48,delivered
SEI-road-20220213-001,ORD-000022,1,VZL-RV3,1,西濃運輸,road,2022-02-13,2022-02-14 02:39:50,2022-02-13,2022-02-17 19:39:50,delivered
SEI-road-20220213-001,ORD-000022,2,NOE-JG4,2,西濃運輸,road,2022-02-13,2022-02-14 02:39:50,2022-02-13,2022-02-17 19:39:50,delivered
NPL-sea-20220213-001,ORD-000023,2,FIT-GR3,2,日本通運,sea,2022-02-13,2022-02-14 01:21:54,2022-02-13,2022-02-19 11:27:54,delayed
YML-road-20220217-001,ORD-000023,1,ZRV-RZ3,1,ヤマトロジスティクス,road,2022-02-17,2022-02-17 22:06:54,2022-02-17,2022-02-24 07:18:54,delayed
YML-road-20220217-001,ORD-000023,2,FIT-GR3,2,ヤマトロジスティクス,road,2022-02-17,2022-02-17 22:06:54,2022-02-17,2022-02-24 07:18:54,delayed
