cost_id,shipment_id,location_id,cost_type,cost_amount,currency,billing_date
COST-2022-001,YML-road-20220118-001,KMM,freight,348881,JPY,2022-02-28
COST-2022-002,NPL-air-20220106-001,HTB,freight,263348,JPY,2022-02-28
COST-2022-003,NPL-air-20220106-001,HTB,expedite,80440,JPY,2022-02-28
COST-2022-004,HNL-road-20220105-001,STM,freight,344653,JPY,2022-02-28
COST-2022-005,HNL-sea-20220121-001,SZK,freight,284683,JPY,2022-02-28
COST-2022-006,HNL-sea-20220121-001,SZK,expedite,125457,JPY,2022-02-28
COST-2022-007,SEI-sea-20220113-001,HMM,freight,338280,JPY,2022-02-28
COST-2022-008,SEI-sea-20220113-001,HMM,expedite,141097,JPY,2022-02-28
COST-2022-009,HNT-air-20220114-001,HTB,freight,398621,JPY,2022-02-28
COST-2022-010,HNT-air-20220114-001,HTB,expedite,190427,JPY,2022-02-28
COST-2022-011,YML-air-20220112-001,HTB,freight,540185,JPY,2022-02-28
COST-2022-012,YML-air-20220112-001,HTB,expedite,196321,JPY,2022-02-28
COST-2022-013,NPL-air-20220114-001,KMM,freight,288243,JPY,2022-02-28
COST-2022-014,NPL-sea-20220128-001,KMM,freight,345744,JPY,2022-02-28
COST-2022-015,NPL-sea-20220128-001,KMM,expedite,137953,JPY,2022-02-28
COST-2022-016,HNT-sea-20220123-001,SZK,freight,267277,JPY,2022-02-28
COST-2022-017,HNL-sea-20220124-001,SZK,freight,227351,JPY,2022-02-28
COST-2022-018,HNL-sea-20220124-001,SZK,expedite,112722,JPY,2022-02-28
COST-2022-019,HNT-road-20220116-001,SZK,freight,187192,JPY,2022-02-28
COST-2022-020,HNL-road-20220117-001,STM,freight,173670,JPY,2022-02-28
COST-2022-021,YML-air-20220117-001,STM,freight,405452,JPY,2022-02-28
COST-2022-022,YML-air-20220117-001,STM,expedite,186990,JPY,2022-02-28
COST-2022-023,NPL-air-20220120-001,STM,freight,401198,JPY,2022-02-28
COST-2022-024,NPL-air-20220120-001,STM,expedite,128237,JPY,2022-02-28
COST-2022-025,HNL-air-20220121-001,HTB,freight,490203,JPY,2022-02-28
COST-2022-026,HNL-air-20220121-001,HTB,expedite,235659,JPY,2022-02-28
COST-2022-027,YML-sea-20220117-001,HTB,freight,342325,JPY,2022-02-28
COST-2022-028,YML-sea-20220117-001,HTB,expedite,166324,JPY,2022-02-28
COST-2022-029,HNT-road-20220122-001,STM,freight,407394,JPY,2022-02-28
COST-2022-030,YML-air-20220126-001,STM,freight,697970,JPY,2022-02-28
COST-2022-031,YML-air-20220126-001,STM,expedite,261416,JPY,2022-02-28
COST-2022-032,YML-sea-20220122-001,STM,freight,618269,JPY,2022-02-28
COST-2022-033,YML-sea-20220123-001,HMM,freight,307614,JPY,2022-02-28
COST-2022-034,NPL-sea-20220126-001,HTB,freight,372676,JPY,2022-02-28
COST-2022-035,YML-air-20220203-001,KMM,freight,499465,JPY,2022-03-31
COST-2022-036,YML-air-20220203-001,KMM,expedite,220846,JPY,2022-03-31
COST-2022-037,YML-air-20220126-002,KMM,freight,339582,JPY,2022-02-28
COST-2022-038,YML-road-20220128-001,KMM,freight,207076,JPY,2022-02-28
COST-2022-039,YML-road-20220125-001,SZK,freight,206035,JPY,2022-02-28
COST-2022-040,HNT-road-20220207-001,KMM,freight,160669,JPY,2022-03-31
COST-2022-041,HNT-road-20220207-001,KMM,expedite,62384,JPY,2022-03-31
