order_id,line_number,product_id,product_name,quantity,promised_delivery_date
ORD-2025-001,1,F101000,FIT,12,2025-11-15 00:00:00
ORD-2025-001,2,F102000,FREED,8,2025-11-15 00:00:00
ORD-2025-002,1,F103000,VEZEL,15,2025-11-16 00:00:00
ORD-2025-003,1,F104000,STEP WGN,10,2025-11-17 00:00:00
ORD-2025-003,2,F105000,CR-V,18,2025-11-17 00:00:00
ORD-2025-004,1,F106000,ODYSSEY,22,2025-11-18 00:00:00
ORD-2025-005,1,F107000,PILOT,25,2025-11-19 00:00:00
ORD-2025-006,1,F108000,RIDGELINE,20,2025-11-20 00:00:00
ORD-2025-007,1,F109000,PASSPORT,16,2025-11-21 00:00:00
ORD-2025-008,1,F110000,HR-V,14,2025-11-22 00:00:00
ORD-2025-009,1,F111000,ACCORD,19,2025-11-23 00:00:00
