year_month,total_orders,on_time_deliveries,compliance_rate,created_at
2022-01,122,122,100,2025-12-04 14:09:47
2022-02,152,152,100,2025-12-04 14:09:47
2022-03,196,196,100,2025-12-04 14:09:47
2022-04,114,114,100,2025-12-04 14:09:47
2022-05,181,181,100,2025-12-04 14:09:47
2022-06,160,160,100,2025-12-04 14:09:47
2022-07,166,166,100,2025-12-04 14:09:47
2022-08,140,140,100,2025-12-04 14:09:47
2022-09,177,177,100,2025-12-04 14:09:47
2022-10,149,149,100,2025-12-04 14:09:47
2022-11,150,150,100,2025-12-04 14:09:47
2022-12,150,150,100,2025-12-04 14:09:47
2023-01,128,128,100,2025-12-04 14:09:47
2023-02,184,184,100,2025-12-04 14:09:47
2023-03,157,157,100,2025-12-04 14:09:47
2023-04,113,113,100,2025-12-04 14:09:47
2023-05,180,180,100,2025-12-04 14:09:47
2023-06,156,156,100,2025-12-04 14:09:47
2023-07,177,177,100,2025-12-04 14:09:47
2023-08,109,109,100,2025-12-04 14:09:47
2023-09,160,160,100,2025-12-04 14:09:47
2023-10,186,186,100,2025-12-04 14:09:47
2023-11,172,172,100,2025-12-04 14:09:47
2023-12,91,91,100,2025-12-04 14:09:47
2024-01,201,201,100,2025-12-04 14:09:47
2024-02,149,149,100,2025-12-04 14:09:47
2024-03,95,95,100,2025-12-04 14:09:47
2024-04,111,111,100,2025-12-04 14:09:47
2024-05,147,147,100,2025-12-04 14:09:47
2024-06,72,72,100,2025-12-04 14:09:47
2024-07,134,134,100,2025-12-04 14:09:47
2024-08,159,159,100,2025-12-04 14:09:47
2024-09,166,166,100,2025-12-04 14:09:47
2024-10,149,149,100,2025-12-04 14:09:47
2024-11,145,145,100,2025-12-04 14:09:47
2024-12,192,192,100,2025-12-04 14:09:47
2025-01,145,145,100,2025-12-04 14:09:47
2025-02,159,159,100,2025-12-04 14:09:47
2025-03,180,180,100,2025-12-04 14:09:47
2025-04,160,160,100,2025-12-04 14:09:47
2025-05,111,111,100,2025-12-04 14:09:47
2025-06,144,144,100,2025-12-04 14:09:47
2025-07,143,143,100,2025-12-04 14:09:47
2025-08,114,114,100,2025-12-04 14:09:47
2025-09,139,139,100,2025-12-04 14:09:47
2025-10,153,153,100,2025-12-04 14:09:47
2025-11,197,197,100,2025-12-04 14:09:47
2025-12,11,11,100,2025-12-04 14:09:47
