year_month,location_id,location_name,total_revenue,ev_revenue,ev_sales_share,created_at
2022-01,HMM,浜松製作所,62554498,22979202,36.73,2025-12-04 14:09:47
2022-01,HTB,ホンダオートボディー,96739607,46338190,47.9,2025-12-04 14:09:47
2022-01,KMM,熊本製作所,77288274,5564060,7.2,2025-12-04 14:09:47
2022-01,STM,埼玉製作所,180008331,21084856,11.71,2025-12-04 14:09:47
2022-01,SZK,鈴鹿製作所,24258568,0,0.0,2025-12-04 14:09:47
2022-02,HMM,浜松製作所,22723879,8170383,35.96,2025-12-04 14:09:47
2022-02,HTB,ホンダオートボディー,206013903,35210070,17.09,2025-12-04 14:09:47
2022-02,KMM,熊本製作所,52684696,8346090,15.84,2025-12-04 14:09:47
2022-02,STM,埼玉製作所,26960066,0,0.0,2025-12-04 14:09:47
2022-02,SZK,鈴鹿製作所,253213266,157621240,62.25,2025-12-04 14:09:47
2022-03,HMM,浜松製作所,52681951,13617305,25.85,2025-12-04 14:09:47
2022-03,HTB,ホンダオートボディー,161970900,41821970,25.82,2025-12-04 14:09:47
2022-03,KMM,熊本製作所,66768721,10606490,15.89,2025-12-04 14:09:47
2022-03,STM,埼玉製作所,110009168,58889363,53.53,2025-12-04 14:09:47
2022-03,SZK,鈴鹿製作所,170713254,14882033,8.72,2025-12-04 14:09:47
2022-04,HMM,浜松製作所,49362735,10893844,22.07,2025-12-04 14:09:47
2022-04,HTB,ホンダオートボディー,41469635,0,0.0,2025-12-04 14:09:47
2022-04,KMM,熊本製作所,36861898,2782030,7.55,2025-12-04 14:09:47
2022-04,STM,埼玉製作所,134951343,105218398,77.97,2025-12-04 14:09:47
2022-04,SZK,鈴鹿製作所,188305928,155186964,82.41,2025-12-04 14:09:47
2022-05,HMM,浜松製作所,63962896,41919883,65.54,2025-12-04 14:09:47
2022-05,HTB,ホンダオートボディー,182643948,83433455,45.68,2025-12-04 14:09:47
2022-05,KMM,熊本製作所,40600254,0,0.0,2025-12-04 14:09:47
2022-05,STM,埼玉製作所,231956338,10606490,4.57,2025-12-04 14:09:47
2022-05,SZK,鈴鹿製作所,66230617,9025125,13.63,2025-12-04 14:09:47
2022-06,HMM,浜松製作所,77278209,20766390,26.87,2025-12-04 14:09:47
2022-06,HTB,ホンダオートボディー,176140935,0,0.0,2025-12-04 14:09:47
2022-06,KMM,熊本製作所,42686774,13910150,32.59,2025-12-04 14:09:47
2022-06,STM,埼玉製作所,287912685,99265407,34.48,2025-12-04 14:09:47
2022-06,SZK,鈴鹿製作所,158799928,83093021,52.33,2025-12-04 14:09:47
