product_id,product_name,year_month,revenue,cost,gross_profit,gross_margin,created_at
CRV-RT5,CR-V,2022-01,610307880,54005009.0,556302871.0,91.15,2025-12-04 14:09:47
FIT-GR3,FIT,2022-01,5403178174,735637280.0,4667540894.0,86.39,2025-12-04 14:09:47
FRD-GB5,FREED,2022-01,717717159,137691045.0,580026114.0,80.82,2025-12-04 14:09:47
HDE-ZC1,Honda e,2022-01,3607734864,80408530.31099999,3527326333.689,97.77,2025-12-04 14:09:47
NOE-JG4,N-ONE e:,2022-01,2531061412,72929627.6364,2458131784.3636,97.12,2025-12-04 14:09:47
SWN-RP6,STEP WGN,2022-01,346845968,51423840.0,295422128.0,85.17,2025-12-04 14:09:47
VZL-RV3,VEZEL,2022-01,88673546,15102240.0,73571306.0,82.97,2025-12-04 14:09:47
ZRV-RZ3,ZR-V,2022-01,28277873,19794511.099999998,8483361.900000002,30.0,2025-12-04 14:09:47
CRV-RT5,CR-V,2022-02,1199611336,87112059.0,1112499277.0,92.74,2025-12-04 14:09:47
ENP-ENP1,e:NP1,2022-02,4721517372,29315543.673,4692201828.327,99.38,2025-12-04 14:09:47
FIT-GR3,FIT,2022-02,2211073158,318412136.0,1892661022.0,85.6,2025-12-04 14:09:47
FRD-GB5,FREED,2022-02,577941144,57896112.0,520045032.0,89.98,2025-12-04 14:09:47
HDE-ZC1,Honda e,2022-02,3607982112,95792811.48,3512189300.52,97.34,2025-12-04 14:09:47
NOE-JG4,N-ONE e:,2022-02,935933538,94878044.718,841055493.2820001,89.86,2025-12-04 14:09:47
ODY-RC1,ODYSSEY,2022-02,43487520,30441263.999999996,13046256.000000004,30.0,2025-12-04 14:09:47
PLT-YF3,PILOT,2022-02,505377780,45572080.0,459805700.0,90.98,2025-12-04 14:09:47
RDG-YF6,RIDGELINE,2022-02,1974615698,74948111.298,1899667586.702,96.2,2025-12-04 14:09:47
SWN-RP6,STEP WGN,2022-02,918772806,206198748.0,712574058.0,77.56,2025-12-04 14:09:47
VZL-RV3,VEZEL,2022-02,479680565,39621720.0,440058845.0,91.74,2025-12-04 14:09:47
ZRV-RZ3,ZR-V,2022-02,1112473401,176618008.0,935855393.0,84.12,2025-12-04 14:09:47
ACD-CV1,ACCORD,2022-03,19810986,13867690.2,5943295.800000001,30.0,2025-12-04 14:09:47
ENP-ENP1,e:NP1,2022-03,2002238342,60980604.651,1941257737.349,96.95,2025-12-04 14:09:47
FIT-GR3,FIT,2022-03,1136605697,76439064.0,1060166633.0,93.27,2025-12-04 14:09:47
FRD-GB5,FREED,2022-03,3063780552,534696141.0,2529084411.0,82.55,2025-12-04 14:09:47
HDE-ZC1,Honda e,2022-03,1886765601,95495178.96,1791270422.04,94.94,2025-12-04 14:09:47
NOE-JG4,N-ONE e:,2022-03,931950846,71065443.63599999,860885402.364,92.37,2025-12-04 14:09:47
ODY-RC1,ODYSSEY,2022-03,348188490,31627783.0,316560707.0,90.92,2025-12-04 14:09:47
PLT-YF3,PILOT,2022-03,402351125,47115133.0,355235992.0,88.29,2025-12-04 14:09:47
PRO-ZC5,Prologue,2022-03,837537600,39233118.2496,798304481.7504,95.32,2025-12-04 14:09:47
PSP-YF7,PASSPORT,2022-03,646300390,87277854.0,559022536.0,86.5,2025-12-04 14:09:47
RDG-YF6,RIDGELINE,2022-03,121336794,84935755.8,36401038.2,30.0,2025-12-04 14:09:47
SWN-RP6,STEP WGN,2022-03,732369456,67760994.0,664608462.0,90.75,2025-12-04 14:09:47
VZL-RV3,VEZEL,2022-03,16516473,743784.0,15772689.0,95.5,2025-12-04 14:09:47
ZRV-RZ3,ZR-V,2022-03,9645581466,748229295.0,8897352171.0,92.24,2025-12-04 14:09:47
ENP-ENP1,e:NP1,2022-04,4717037754,16911199.704,4700126554.296,99.64,2025-12-04 14:09:47
FIT-GR3,FIT,2022-04,2040307710,176243788.0,1864063922.0,91.36,2025-12-04 14:09:47
FRD-GB5,FREED,2022-04,16170552,3651810.0,12518742.0,77.42,2025-12-04 14:09:47
HDE-ZC1,Honda e,2022-04,1711497760,117086980.992,1594410779.008,93.16,2025-12-04 14:09:47
NOE-JG4,N-ONE e:,2022-04,839353172,78769550.86,760583621.14,90.62,2025-12-04 14:09:47
PRO-ZC5,Prologue,2022-04,2741031936,12349443.636,2728682492.364,99.55,2025-12-04 14:09:47
SWN-RP6,STEP WGN,2022-04,24577042,17203929.4,7373112.6000000015,30.0,2025-12-04 14:09:47
VZL-RV3,VEZEL,2022-04,945890200,103257528.0,842632672.0,89.08,2025-12-04 14:09:47
ZRV-RZ3,ZR-V,2022-04,2860594945,236168004.0,2624426941.0,91.74,2025-12-04 14:09:47
ENP-ENP1,e:NP1,2022-05,1426229770,73774140.981,1352455629.019,94.83,2025-12-04 14:09:47
FIT-GR3,FIT,2022-05,1866225069,196340230.0,1669884839.0,89.48,2025-12-04 14:09:47
FRD-GB5,FREED,2022-05,2948997755,292879251.0,2656118504.0,90.07,2025-12-04 14:09:47
HDE-ZC1,Honda e,2022-05,3160875858,112265687.51699999,3048610170.483,96.45,2025-12-04 14:09:47
NOE-JG4,N-ONE e:,2022-05,981500100,132199087.7992,849301012.2008,86.53,2025-12-04 14:09:47
ODY-RC1,ODYSSEY,2022-05,170490858,119343600.6,51147257.400000006,30.0,2025-12-04 14:09:47
PRO-ZC5,Prologue,2022-05,26173050,18321135.0,7851915.0,30.0,2025-12-04 14:09:47
PSP-YF7,PASSPORT,2022-05,219853595,36541775.0,183311820.0,83.38,2025-12-04 14:09:47
RDG-YF6,RIDGELINE,2022-05,887467770,60915246.48,826552523.52,93.14,2025-12-04 14:09:47
SWN-RP6,STEP WGN,2022-05,3039975705,452491767.0,2587483938.0,85.12,2025-12-04 14:09:47
VZL-RV3,VEZEL,2022-05,1736894552,209927190.0,1526967362.0,87.91,2025-12-04 14:09:47
ZRV-RZ3,ZR-V,2022-05,54194679,2741140.0,51453539.0,94.94,2025-12-04 14:09:47
ACD-CV1,ACCORD,2022-06,16696755,11687728.5,5009026.5,30.0,2025-12-04 14:09:47
CRV-RT5,CR-V,2022-06,2651518077,701654115.0,1949863962.0,73.54,2025-12-04 14:09:47
ENP-ENP1,e:NP1,2022-06,4487067210,27148330.35,4459918879.65,99.39,2025-12-04 14:09:47
FIT-GR3,FIT,2022-06,2250881776,231176982.0,2019704794.0,89.73,2025-12-04 14:09:47
FRD-GB5,FREED,2022-06,1960353144,110379045.0,1849974099.0,94.37,2025-12-04 14:09:47
HDE-ZC1,Honda e,2022-06,915708910,136039898.4375,779669011.5625,85.14,2025-12-04 14:09:47
