year_month,total_cost,emergency_cost,emergency_cost_share,created_at
2022-02,11406144,1963043,17.21,2025-12-04 14:09:47
2022-03,14507328,2118406,14.6,2025-12-04 14:09:47
2022-04,15065542,2222240,14.75,2025-12-04 14:09:47
2022-05,14375241,1511408,10.51,2025-12-04 14:09:47
2022-06,14254547,1996984,14.01,2025-12-04 14:09:47
2022-07,13934615,1668766,11.98,2025-12-04 14:09:47
2022-08,11842616,1230309,10.39,2025-12-04 14:09:47
2022-09,14833500,1421924,9.59,2025-12-04 14:09:47
2022-10,12955069,1392916,10.75,2025-12-04 14:09:47
2022-11,15569487,2143536,13.77,2025-12-04 14:09:47
2022-12,15116519,2070208,13.7,2025-12-04 14:09:47
2023-01,12341439,1603912,13.0,2025-12-04 14:09:47
2023-02,13038968,1926339,14.77,2025-12-04 14:09:47
2023-03,14086266,1994260,14.16,2025-12-04 14:09:47
2023-04,11280310,1227393,10.88,2025-12-04 14:09:47
2023-05,13298671,1535291,11.54,2025-12-04 14:09:47
2023-06,16246560,1928241,11.87,2025-12-04 14:09:47
2023-07,13687700,2112346,15.43,2025-12-04 14:09:47
2023-08,17714709,2775270,15.67,2025-12-04 14:09:47
2023-09,12731989,1925415,15.12,2025-12-04 14:09:47
2023-10,16135119,2102843,13.03,2025-12-04 14:09:47
2023-11,12659352,1172257,9.26,2025-12-04 14:09:47
2023-12,15589610,2530636,16.23,2025-12-04 14:09:47
2024-01,9861761,1398335,14.18,2025-12-04 14:09:47
2024-02,16980367,1878732,11.06,2025-12-04 14:09:47
2024-03,12891615,1395328,10.82,2025-12-04 14:09:47
2024-04,13299134,1192917,8.97,2025-12-04 14:09:47
2024-05,11586807,1362762,11.76,2025-12-04 14:09:47
2024-06,15086972,1795008,11.9,2025-12-04 14:09:47
2024-07,9841234,1322008,13.43,2025-12-04 14:09:47
2024-08,12852747,1784215,13.88,2025-12-04 14:09:47
2024-09,18074342,2210516,12.23,2025-12-04 14:09:47
2024-10,11967940,730551,6.1,2025-12-04 14:09:47
2024-11,9670521,1195377,12.36,2025-12-04 14:09:47
2024-12,14239366,1443396,10.14,2025-12-04 14:09:47
2025-01,14236797,1581676,11.11,2025-12-04 14:09:47
2025-02,9032495,1096285,12.14,2025-12-04 14:09:47
2025-03,15479404,1499229,9.69,2025-12-04 14:09:47
2025-04,14224457,1236490,8.69,2025-12-04 14:09:47
2025-05,12373825,495508,4.0,2025-12-04 14:09:47
2025-06,9478937,1622175,17.11,2025-12-04 14:09:47
2025-07,14440189,1717747,11.9,2025-12-04 14:09:47
2025-08,19133148,2567847,13.42,2025-12-04 14:09:47
2025-09,11047949,1680071,15.21,2025-12-04 14:09:47
2025-10,13225642,1427973,10.8,2025-12-04 14:09:47
2025-11,14560057,1478561,10.15,2025-12-04 14:09:47
2025-12,14816832,2749775,18.56,2025-12-04 14:09:47
2026-01,3252226,411007,12.64,2025-12-04 14:09:47
