shipment_id,shipment_timestamp,location_id,customer_id
HNL-road-20220111-001,2022-01-12 02:28:56,SZK,DEAL-003
SEI-sea-20220115-001,2022-01-16 08:47:56,SZK,DEAL-003
HNT-sea-20220125-001,2022-01-26 00:29:20,SZK,DEAL-003
HNL-road-20220206-001,2022-02-06 22:18:20,SZK,DEAL-003
SEI-sea-20220218-001,2022-02-18 23:30:50,SZK,DEAL-003
NPL-road-20220211-001,2022-02-11 22:15:50,SZK,DEAL-003
HNT-sea-20220217-001,2022-02-18 01:09:46,HTB,DEAL-002
HNT-air-20220213-001,2022-02-13 22:09:46,HTB,DEAL-002
NPL-road-20220305-001,2022-03-05 23:54:12,STM,DEAL-001
HNT-road-20220228-001,2022-03-01 00:37:36,KMM,DEAL-004
NPL-air-20220314-001,2022-03-15 06:50:13,SZK,DEAL-003
HNL-air-20220319-001,2022-03-19 21:28:01,SZK,DEAL-003
SEI-air-20220324-001,2022-03-24 16:55:19,STM,DEAL-001
HNL-road-20220326-001,2022-03-26 18:50:19,STM,DEAL-001
SEI-air-20220321-001,2022-03-22 00:22:15,HTB,DEAL-002
HNL-sea-20220408-001,2022-04-09 06:54:39,HTB,DEAL-002
SEI-air-20220407-001,2022-04-08 05:35:39,HTB,DEAL-002
HNT-air-20220407-001,2022-04-07 22:05:14,STM,DEAL-001
HNL-sea-20220509-001,2022-05-09 22:45:05,HMM,DEAL-005
HNL-road-20220508-001,2022-05-09 02:47:05,HMM,DEAL-005
HNT-air-20220524-001,2022-05-24 21:30:48,HMM,DEAL-005
NPL-road-20220524-001,2022-05-25 01:23:48,HMM,DEAL-005
NPL-road-20220605-001,2022-06-05 18:53:08,HTB,DEAL-002
YML-sea-20220711-001,2022-07-12 05:07:36,HMM,DEAL-005
HNL-sea-20220720-001,2022-07-21 00:33:36,HMM,DEAL-005
HNT-air-20220717-001,2022-07-17 20:51:59,SZK,DEAL-003
YML-road-20220726-001,2022-07-27 01:57:59,SZK,DEAL-003
HNT-air-20220725-001,2022-07-25 22:47:51,HMM,DEAL-005
HNL-air-20220810-001,2022-08-11 02:10:50,KMM,DEAL-004
SEI-road-20220811-001,2022-08-12 01:34:46,SZK,DEAL-003
NPL-road-20220823-001,2022-08-23 23:15:46,SZK,DEAL-003
SEI-sea-20220823-001,2022-08-24 02:57:32,STM,DEAL-001
HNT-air-20220823-001,2022-08-23 22:05:32,STM,DEAL-001
HNT-road-20220905-001,2022-09-06 05:21:47,HMM,DEAL-005
NPL-air-20220915-001,2022-09-16 00:57:15,SZK,DEAL-003
HNT-air-20220920-001,2022-09-20 19:58:15,SZK,DEAL-003
YML-road-20220908-001,2022-09-09 00:45:13,HTB,DEAL-002
HNT-road-20220925-001,2022-09-26 05:22:39,STM,DEAL-001
YML-road-20220927-001,2022-09-27 19:14:44,SZK,DEAL-003
YML-road-20220930-001,2022-09-30 23:04:03,KMM,DEAL-004
YML-road-20221008-001,2022-10-09 01:23:03,KMM,DEAL-004
SEI-road-20221015-001,2022-10-16 02:43:02,SZK,DEAL-003
HNT-road-20221020-001,2022-10-21 08:58:02,SZK,DEAL-003
HNT-road-20221026-001,2022-10-27 03:11:18,KMM,DEAL-004
NPL-road-20221027-001,2022-10-28 03:39:18,KMM,DEAL-004
HNL-air-20221018-001,2022-10-19 00:32:16,STM,DEAL-001
HNT-road-20221112-001,2022-11-13 00:49:06,KMM,DEAL-004
