年月,全完成車販売台数,EV完成車販売台数,月次EV販売率
2022-01,159,29,18.24
2022-02,162,52,32.1
2022-03,170,35,20.59
2022-04,133,63,47.37
2022-05,179,38,21.23
2022-06,223,59,26.46
2022-07,140,54,38.57
2022-08,164,44,26.83
2022-09,197,64,32.49
2022-10,210,73,34.76
2022-11,178,46,25.84
2022-12,130,53,40.77
2023-01,176,27,15.34
2023-02,163,40,24.54
2023-03,152,35,23.03
2023-04,118,48,40.68
2023-05,187,76,40.64
2023-06,143,58,40.56
2023-07,226,71,31.42
2023-08,172,58,33.72
2023-09,197,57,28.93
2023-10,179,63,35.2
2023-11,180,42,23.33
2023-12,96,21,21.88
2024-01,215,71,33.02
2024-02,151,45,29.8
2024-03,142,83,58.45
2024-04,158,85,53.8
2024-05,176,41,23.3
2024-06,104,11,10.58
2024-07,188,56,29.79
2024-08,199,46,23.12
2024-09,163,59,36.2
2024-10,116,25,21.55
2024-11,186,64,34.41
2024-12,164,39,23.78
2025-01,115,12,10.43
2025-02,202,85,42.08
2025-03,176,63,35.8
2025-04,180,55,30.56
2025-05,86,28,32.56
2025-06,143,24,16.78
2025-07,221,67,30.32
2025-08,123,41,33.33
2025-09,178,48,26.97
2025-10,180,60,33.33
2025-11,197,53,26.9
2025-12,11,2,18.18
