order_id,order_timestamp,location_id,customer_id
ORD-2025-001,2025-11-01 09:00:00,A1,DEAL-001
ORD-2025-002,2025-11-01 10:30:00,A2,DEAL-002
ORD-2025-003,2025-11-01 14:15:00,A1,DEAL-003
ORD-2025-004,2025-11-02 08:45:00,A3,DEAL-004
ORD-2025-005,2025-11-02 11:20:00,A2,DEAL-005
ORD-2025-006,2025-11-03 09:30:00,A4,DEAL-001
ORD-2025-007,2025-11-03 13:45:00,A2,DEAL-002
ORD-2025-008,2025-11-04 10:00:00,A1,DEAL-003
ORD-2025-009,2025-11-05 09:15:00,A5,DEAL-004
ORD-2025-010,2025-11-05 16:00:00,A1,DEAL-005
ORD-2025-011,2025-11-06 10:30:00,A2,DEAL-006

