product_id,site_id,mean,p10,p50,p90,forecast_week,forecast_start_dttm,forecast_end_dttm,company_id,region_id,product_group_id,snapshot_date
Finished_Good_000012,Plant_01,1793.24,1619.45,1793.24,1967.02,2025-02-09,2025-02-09,2025-02-15,HND,,,2025-09-05
Finished_Good_000012,Plant_01,1773.04,1599.25,1773.04,1946.83,2025-02-16,2025-02-16,2025-02-22,HND,,,2025-09-05
Finished_Good_000012,Plant_01,1780.92,1607.13,1780.92,1954.7,2025-02-23,2025-02-23,2025-03-01,HND,,,2025-09-05
Finished_Good_000012,Plant_01,1798.43,1624.65,1798.43,1972.22,2025-03-02,2025-03-02,2025-03-08,HND,,,2025-09-05
Finished_Good_000012,Plant_02,1886.82,1706.72,1886.82,2066.91,2025-02-09,2025-02-09,2025-02-15,HND,,,2025-09-05
Finished_Good_000012,Plant_02,1808.69,1628.59,1808.69,1988.78,2025-02-16,2025-02-16,2025-02-22,HND,,,2025-09-05
Finished_Good_000012,Plant_02,1850.37,1670.28,1850.37,2030.47,2025-02-23,2025-02-23,2025-03-01,HND,,,2025-09-05
Finished_Good_000012,Plant_02,1886.62,1706.53,1886.62,2066.71,2025-03-02,2025-03-02,2025-03-08,HND,,,2025-09-05
Finished_Good_000012,Plant_03,2297.59,2106.65,2297.59,2488.53,2025-02-09,2025-02-09,2025-02-15,HND,,,2025-09-05
Finished_Good_000012,Plant_03,2338.26,2147.32,2338.26,2529.2,2025-02-16,2025-02-16,2025-02-22,HND,,,2025-09-05
Finished_Good_000012,Plant_03,2293.36,2102.43,2293.36,2484.3,2025-02-23,2025-02-23,2025-03-01,HND,,,2025-09-05
Finished_Good_000012,Plant_03,2362.43,2171.49,2362.43,2553.36,2025-03-02,2025-03-02,2025-03-08,HND,,,2025-09-05
Finished_Good_000008,Plant_01,850.33,797.04,850.33,903.63,2025-02-09,2025-02-09,2025-02-15,HND,,,2025-09-05
Finished_Good_000008,Plant_01,877.95,824.65,877.95,931.24,2025-02-16,2025-02-16,2025-02-22,HND,,,2025-09-05
Finished_Good_000008,Plant_01,907.58,854.29,907.58,960.88,2025-02-23,2025-02-23,2025-03-01,HND,,,2025-09-05
Finished_Good_000008,Plant_01,936.02,882.73,936.02,989.32,2025-03-02,2025-03-02,2025-03-08,HND,,,2025-09-05
Finished_Good_000008,Plant_02,873.53,812.06,873.53,934.99,2025-02-09,2025-02-09,2025-02-15,HND,,,2025-09-05
Finished_Good_000008,Plant_02,996.8,935.33,996.8,1058.26,2025-02-16,2025-02-16,2025-02-22,HND,,,2025-09-05
Finished_Good_000008,Plant_02,1134.08,1072.62,1134.08,1195.55,2025-02-23,2025-02-23,2025-03-01,HND,,,2025-09-05
Finished_Good_000008,Plant_02,1257.68,1196.22,1257.68,1319.15,2025-03-02,2025-03-02,2025-03-08,HND,,,2025-09-05
Finished_Good_000008,Plant_03,920.52,871.64,920.52,969.4,2025-02-09,2025-02-09,2025-02-15,HND,,,2025-09-05
Finished_Good_000008,Plant_03,1103.97,1055.09,1103.97,1152.85,2025-02-16,2025-02-16,2025-02-22,HND,,,2025-09-05
Finished_Good_000008,Plant_03,1252.59,1203.7,1252.59,1301.47,2025-02-23,2025-02-23,2025-03-01,HND,,,2025-09-05
Finished_Good_000008,Plant_03,1407.38,1358.5,1407.38,1456.26,2025-03-02,2025-03-02,2025-03-08,HND,,,2025-09-05
Finished_Good_000002,Plant_01,1054.31,993.55,1054.31,1115.07,2025-02-09,2025-02-09,2025-02-15,HND,,,2025-09-05
Finished_Good_000002,Plant_01,1223.67,1162.92,1223.67,1284.43,2025-02-16,2025-02-16,2025-02-22,HND,,,2025-09-05
Finished_Good_000002,Plant_01,1362.92,1302.17,1362.92,1423.68,2025-02-23,2025-02-23,2025-03-01,HND,,,2025-09-05
Finished_Good_000002,Plant_01,1549.84,1489.09,1549.84,1610.6,2025-03-02,2025-03-02,2025-03-08,HND,,,2025-09-05
Finished_Good_000002,Plant_02,1037.84,973.57,1037.84,1102.1,2025-02-09,2025-02-09,2025-02-15,HND,,,2025-09-05
Finished_Good_000002,Plant_02,1259.87,1195.6,1259.87,1324.13,2025-02-16,2025-02-16,2025-02-22,HND,,,2025-09-05
Finished_Good_000002,Plant_02,1438.2,1373.93,1438.2,1502.46,2025-02-23,2025-02-23,2025-03-01,HND,,,2025-09-05
Finished_Good_000002,Plant_02,1621.3,1557.03,1621.3,1685.56,2025-03-02,2025-03-02,2025-03-08,HND,,,2025-09-05
Finished_Good_000002,Plant_03,754.89,705.86,754.89,803.93,2025-02-09,2025-02-09,2025-02-15,HND,,,2025-09-05
Finished_Good_000002,Plant_03,780.07,731.03,780.07,829.1,2025-02-16,2025-02-16,2025-02-22,HND,,,2025-09-05
Finished_Good_000002,Plant_03,765.56,716.52,765.56,814.59,2025-02-23,2025-02-23,2025-03-01,HND,,,2025-09-05
Finished_Good_000002,Plant_03,781.61,732.58,781.61,830.64,2025-03-02,2025-03-02,2025-03-08,HND,,,2025-09-05
