id,site_id,product_id,product_group_id,dest_geo_id,vendor_tpartner_id,eff_start_date,eff_end_date,company_id,ss_policy,fallback_policy_1,repl_interval,target_inventory_qty,min_safety_stock,max_stock,stockout_tolerance_rate,stockout_tolerance_rate.1,woc_limit,permitted_var,min_sl,max_sl,db_creation_dttm,db_updation_dttm,target_doc_limit,max_doc_limit,min_doc_limit
InventoryPolicy_0,Plant_01,Finished_Good_000001,Product_Group_001,SCN_RESERVED_NO_VALUE_PROVIDED,,2000-12-19T20:30:22Z,2092-12-19T20:30:22Z,HND,abs_level,,,,,,,,,,,,,7.0,10.0,4.0,
InventoryPolicy_1,Plant_01,Finished_Good_000002,Product_Group_001,SCN_RESERVED_NO_VALUE_PROVIDED,,2000-12-19T20:30:22Z,2092-12-19T20:30:22Z,HND,abs_level,,,,87.85215643970128,2194.74,0.3,,,,,,,7.0,10.0,4.0,
InventoryPolicy_2,Plant_01,Finished_Good_000003,Product_Group_001,SCN_RESERVED_NO_VALUE_PROVIDED,,2000-12-19T20:30:22Z,2092-12-19T20:30:22Z,HND,abs_level,,,,,,,,,,,,,7.0,10.0,4.0,
InventoryPolicy_3,Plant_01,Finished_Good_000004,Product_Group_001,SCN_RESERVED_NO_VALUE_PROVIDED,,2000-12-19T20:30:22Z,2092-12-19T20:30:22Z,HND,abs_level,,,,,,,,,,,,,7.0,10.0,4.0,
InventoryPolicy_4,Plant_01,Finished_Good_000005,Product_Group_001,SCN_RESERVED_NO_VALUE_PROVIDED,,2000-12-19T20:30:22Z,2092-12-19T20:30:22Z,HND,abs_level,,,,,,,,,,,,,7.0,10.0,4.0,
InventoryPolicy_5,Plant_01,Finished_Good_000006,Product_Group_001,SCN_RESERVED_NO_VALUE_PROVIDED,,2000-12-19T20:30:22Z,2092-12-19T20:30:22Z,HND,abs_level,,,,,,,,,,,,,7.0,10.0,4.0,
InventoryPolicy_6,Plant_01,Finished_Good_000007,Product_Group_002,SCN_RESERVED_NO_VALUE_PROVIDED,,2000-12-19T20:30:22Z,2092-12-19T20:30:22Z,HND,abs_level,,,,,,,,,,,,,7.0,10.0,4.0,
InventoryPolicy_7,Plant_01,Finished_Good_000008,Product_Group_002,SCN_RESERVED_NO_VALUE_PROVIDED,,2000-12-19T20:30:22Z,2092-12-19T20:30:22Z,HND,abs_level,,,,169.1876935690825,2721.25,0.1,,,,,,,7.0,10.0,4.0,
InventoryPolicy_8,Plant_01,Finished_Good_000009,Product_Group_002,SCN_RESERVED_NO_VALUE_PROVIDED,,2000-12-19T20:30:22Z,2092-12-19T20:30:22Z,HND,abs_level,,,,,,,,,,,,,7.0,10.0,4.0,
InventoryPolicy_9,Plant_01,Finished_Good_000010,Product_Group_002,SCN_RESERVED_NO_VALUE_PROVIDED,,2000-12-19T20:30:22Z,2092-12-19T20:30:22Z,HND,abs_level,,,,,,,,,,,,,7.0,10.0,4.0,
