bom_id,bom_name,product_id,site_id,production_process_id,component_product_id,component_quantity_per,component_quantity_uom,vehicle
BOM-ACD-CV1-101,ACD - プレミアムシート（レザー）,ACD-CV1,HMM,PROC-ACD-CV1-ASM-HMM,INT-SEAT-PREMIUM-LEATHER,5,EACHES,ACD
BOM-ACD-CV1-102,ACD - プレミアムダッシュボード,ACD-CV1,HMM,PROC-ACD-CV1-ASM-HMM,INT-DASHBOARD-PREMIUM,1,EACHES,ACD
BOM-ACD-CV1-103,ACD - プレミアムステアリングホイール,ACD-CV1,HMM,PROC-ACD-CV1-ASM-HMM,INT-STEERING-PREMIUM,1,EACHES,ACD
BOM-ACD-CV1-104,ACD - プレミアムセンターコンソール,ACD-CV1,HMM,PROC-ACD-CV1-ASM-HMM,INT-CONSOLE-PREMIUM,1,EACHES,ACD
BOM-ACD-CV1-105,ACD - プレミアムフロアカーペット,ACD-CV1,HMM,PROC-ACD-CV1-ASM-HMM,INT-CARPET-PREMIUM,1,SET,ACD
BOM-ACD-CV1-106,ACD - プレミアム用フロントエアサスペンション,ACD-CV1,HMM,PROC-ACD-CV1-ASM-HMM,SUS-AIRSUSP-FRONT-PREMIUM,2,EACHES,ACD
BOM-ACD-CV1-107,ACD - プレミアム用リアエアサスペンション,ACD-CV1,HMM,PROC-ACD-CV1-ASM-HMM,SUS-AIRSUSP-REAR-PREMIUM,2,EACHES,ACD
BOM-ACD-CV1-108,ACD - アダプティブダンパー,ACD-CV1,HMM,PROC-ACD-CV1-ASM-HMM,SUS-DAMPER-ADAPTIVE,4,EACHES,ACD
BOM-CRV-RT5-065,CRV - SUVシート（レザー）,CRV-RT5,HTB,PROC-CRV-RT5-ASM-HTB,INT-SEAT-SUV-LEATHER,5,EACHES,CRV
BOM-CRV-RT5-066,CRV - SUVダッシュボード,CRV-RT5,HTB,PROC-CRV-RT5-ASM-HTB,INT-DASHBOARD-SUV,1,EACHES,CRV
BOM-CRV-RT5-067,CRV - レザーステアリングホイール,CRV-RT5,HTB,PROC-CRV-RT5-ASM-HTB,INT-STEERING-LEATHER,1,EACHES,CRV
BOM-CRV-RT5-068,CRV - SUVセンターコンソール,CRV-RT5,HTB,PROC-CRV-RT5-ASM-HTB,INT-CONSOLE-SUV,1,EACHES,CRV
BOM-CRV-RT5-069,CRV - プレミアムフロアカーペット,CRV-RT5,HTB,PROC-CRV-RT5-ASM-HTB,INT-CARPET-PREMIUM,1,SET,CRV
BOM-CRV-RT5-070,CRV - SUV用フロントストラット,CRV-RT5,HTB,PROC-CRV-RT5-ASM-HTB,SUS-STRUT-FRONT-SUV,2,EACHES,CRV
BOM-CRV-RT5-071,CRV - SUV用リアショックアブソーバー,CRV-RT5,HTB,PROC-CRV-RT5-ASM-HTB,SUS-SHOCK-REAR-SUV,2,EACHES,CRV
BOM-CRV-RT5-072,CRV - SUV用フロントスプリング,CRV-RT5,HTB,PROC-CRV-RT5-ASM-HTB,SUS-SPRING-FRONT-SUV,2,EACHES,CRV
BOM-CRV-RT5-073,CRV - SUV用リアスプリング,CRV-RT5,HTB,PROC-CRV-RT5-ASM-HTB,SUS-SPRING-REAR-SUV,2,EACHES,CRV
BOM-ENP-ENP1-127,ENP - SUVシート（レザー）,ENP-ENP1,HTB,PROC-ENP-ENP1-ASM-HTB,INT-SEAT-SUV-LEATHER,5,EACHES,ENP
BOM-ENP-ENP1-128,ENP - SUVダッシュボード,ENP-ENP1,HTB,PROC-ENP-ENP1-ASM-HTB,INT-DASHBOARD-SUV,1,EACHES,ENP
BOM-ENP-ENP1-129,ENP - レザーステアリングホイール,ENP-ENP1,HTB,PROC-ENP-ENP1-ASM-HTB,INT-STEERING-LEATHER,1,EACHES,ENP
BOM-ENP-ENP1-130,ENP - SUVセンターコンソール,ENP-ENP1,HTB,PROC-ENP-ENP1-ASM-HTB,INT-CONSOLE-SUV,1,EACHES,ENP
BOM-ENP-ENP1-131,ENP - プレミアムフロアカーペット,ENP-ENP1,HTB,PROC-ENP-ENP1-ASM-HTB,INT-CARPET-PREMIUM,1,SET,ENP
BOM-ENP-ENP1-132,ENP - SUV用フロントストラット,ENP-ENP1,HTB,PROC-ENP-ENP1-ASM-HTB,SUS-STRUT-FRONT-SUV,2,EACHES,ENP
BOM-ENP-ENP1-133,ENP - SUV用リアショックアブソーバー,ENP-ENP1,HTB,PROC-ENP-ENP1-ASM-HTB,SUS-SHOCK-REAR-SUV,2,EACHES,ENP
BOM-ENP-ENP1-134,ENP - SUV用フロントスプリング,ENP-ENP1,HTB,PROC-ENP-ENP1-ASM-HTB,SUS-SPRING-FRONT-SUV,2,EACHES,ENP
BOM-ENP-ENP1-135,ENP - SUV用リアスプリング,ENP-ENP1,HTB,PROC-ENP-ENP1-ASM-HTB,SUS-SPRING-REAR-SUV,2,EACHES,ENP
BOM-FIT-GR3-011,FIT - コンパクトシート（ファブリック）,FIT-GR3,STM,PROC-FIT-GR3-ASM-STM,INT-SEAT-COMPACT-CLOTH,4,EACHES,FIT
BOM-FIT-GR3-012,FIT - コンパクトダッシュボード,FIT-GR3,STM,PROC-FIT-GR3-ASM-STM,INT-DASHBOARD-COMPACT,1,EACHES,FIT
BOM-FIT-GR3-013,FIT - 標準ステアリングホイール,FIT-GR3,STM,PROC-FIT-GR3-ASM-STM,INT-STEERING-STD,1,EACHES,FIT
BOM-FIT-GR3-014,FIT - コンパクトセンターコンソール,FIT-GR3,STM,PROC-FIT-GR3-ASM-STM,INT-CONSOLE-COMPACT,1,EACHES,FIT
BOM-FIT-GR3-015,FIT - 標準フロアカーペット,FIT-GR3,STM,PROC-FIT-GR3-ASM-STM,INT-CARPET-STD,1,SET,FIT
BOM-FIT-GR3-016,FIT - コンパクト用フロントストラット,FIT-GR3,STM,PROC-FIT-GR3-ASM-STM,SUS-STRUT-FRONT-COMPACT,2,EACHES,FIT
BOM-FIT-GR3-017,FIT - コンパクト用リアショックアブソーバー,FIT-GR3,STM,PROC-FIT-GR3-ASM-STM,SUS-SHOCK-REAR-COMPACT,2,EACHES,FIT
BOM-FIT-GR3-018,FIT - コンパクト用フロントスプリング,FIT-GR3,STM,PROC-FIT-GR3-ASM-STM,SUS-SPRING-FRONT-COMPACT,2,EACHES,FIT
BOM-FIT-GR3-019,FIT - コンパクト用リアスプリング,FIT-GR3,STM,PROC-FIT-GR3-ASM-STM,SUS-SPRING-REAR-COMPACT,2,EACHES,FIT
BOM-FRD-GB5-029,FRD - ミニバンシート（ファブリック）,FRD-GB5,STM,PROC-FRD-GB5-ASM-STM,INT-SEAT-MINIVAN-CLOTH,7,EACHES,FRD
BOM-FRD-GB5-030,FRD - ミニバンダッシュボード,FRD-GB5,STM,PROC-FRD-GB5-ASM-STM,INT-DASHBOARD-MINIVAN,1,EACHES,FRD
BOM-FRD-GB5-031,FRD - 標準ステアリングホイール,FRD-GB5,STM,PROC-FRD-GB5-ASM-STM,INT-STEERING-STD,1,EACHES,FRD
BOM-FRD-GB5-032,FRD - ミニバンセンターコンソール,FRD-GB5,STM,PROC-FRD-GB5-ASM-STM,INT-CONSOLE-MINIVAN,1,EACHES,FRD
BOM-FRD-GB5-033,FRD - 標準フロアカーペット,FRD-GB5,STM,PROC-FRD-GB5-ASM-STM,INT-CARPET-STD,1,SET,FRD
BOM-FRD-GB5-034,FRD - ミニバン用フロントストラット,FRD-GB5,STM,PROC-FRD-GB5-ASM-STM,SUS-STRUT-FRONT-MINIVAN,2,EACHES,FRD
BOM-FRD-GB5-035,FRD - ミニバン用リアショックアブソーバー,FRD-GB5,STM,PROC-FRD-GB5-ASM-STM,SUS-SHOCK-REAR-MINIVAN,2,EACHES,FRD
BOM-FRD-GB5-036,FRD - ミニバン用フロントスプリング,FRD-GB5,STM,PROC-FRD-GB5-ASM-STM,SUS-SPRING-FRONT-MINIVAN,2,EACHES,FRD
BOM-FRD-GB5-037,FRD - ミニバン用リアスプリング,FRD-GB5,STM,PROC-FRD-GB5-ASM-STM,SUS-SPRING-REAR-MINIVAN,2,EACHES,FRD
BOM-HDE-ZC1-109,HDE - コンパクトシート（ファブリック）,HDE-ZC1,HTB,PROC-HDE-ZC1-ASM-HTB,INT-SEAT-COMPACT-CLOTH,4,EACHES,HDE
BOM-HDE-ZC1-110,HDE - コンパクトダッシュボード,HDE-ZC1,HTB,PROC-HDE-ZC1-ASM-HTB,INT-DASHBOARD-COMPACT,1,EACHES,HDE
BOM-HDE-ZC1-111,HDE - 標準ステアリングホイール,HDE-ZC1,HTB,PROC-HDE-ZC1-ASM-HTB,INT-STEERING-STD,1,EACHES,HDE
BOM-HDE-ZC1-112,HDE - コンパクトセンターコンソール,HDE-ZC1,HTB,PROC-HDE-ZC1-ASM-HTB,INT-CONSOLE-COMPACT,1,EACHES,HDE
BOM-HDE-ZC1-113,HDE - 標準フロアカーペット,HDE-ZC1,HTB,PROC-HDE-ZC1-ASM-HTB,INT-CARPET-STD,1,SET,HDE
BOM-HDE-ZC1-114,HDE - コンパクト用フロントストラット,HDE-ZC1,HTB,PROC-HDE-ZC1-ASM-HTB,SUS-STRUT-FRONT-COMPACT,2,EACHES,HDE
BOM-HDE-ZC1-115,HDE - コンパクト用リアショックアブソーバー,HDE-ZC1,HTB,PROC-HDE-ZC1-ASM-HTB,SUS-SHOCK-REAR-COMPACT,2,EACHES,HDE
BOM-HDE-ZC1-116,HDE - コンパクト用フロントスプリング,HDE-ZC1,HTB,PROC-HDE-ZC1-ASM-HTB,SUS-SPRING-FRONT-COMPACT,2,EACHES,HDE
BOM-HDE-ZC1-117,HDE - コンパクト用リアスプリング,HDE-ZC1,HTB,PROC-HDE-ZC1-ASM-HTB,SUS-SPRING-REAR-COMPACT,2,EACHES,HDE
BOM-NOE-JG4-118,NOE - コンパクトシート（ファブリック）,NOE-JG4,HTB,PROC-NOE-JG4-ASM-HTB,INT-SEAT-COMPACT-CLOTH,4,EACHES,NOE
BOM-NOE-JG4-119,NOE - コンパクトダッシュボード,NOE-JG4,HTB,PROC-NOE-JG4-ASM-HTB,INT-DASHBOARD-COMPACT,1,EACHES,NOE
BOM-NOE-JG4-120,NOE - 標準ステアリングホイール,NOE-JG4,HTB,PROC-NOE-JG4-ASM-HTB,INT-STEERING-STD,1,EACHES,NOE
BOM-NOE-JG4-121,NOE - コンパクトセンターコンソール,NOE-JG4,HTB,PROC-NOE-JG4-ASM-HTB,INT-CONSOLE-COMPACT,1,EACHES,NOE
BOM-NOE-JG4-122,NOE - 標準フロアカーペット,NOE-JG4,HTB,PROC-NOE-JG4-ASM-HTB,INT-CARPET-STD,1,SET,NOE
BOM-NOE-JG4-123,NOE - コンパクト用フロントストラット,NOE-JG4,HTB,PROC-NOE-JG4-ASM-HTB,SUS-STRUT-FRONT-COMPACT,2,EACHES,NOE
BOM-NOE-JG4-124,NOE - コンパクト用リアショックアブソーバー,NOE-JG4,HTB,PROC-NOE-JG4-ASM-HTB,SUS-SHOCK-REAR-COMPACT,2,EACHES,NOE
BOM-NOE-JG4-125,NOE - コンパクト用フロントスプリング,NOE-JG4,HTB,PROC-NOE-JG4-ASM-HTB,SUS-SPRING-FRONT-COMPACT,2,EACHES,NOE
BOM-NOE-JG4-126,NOE - コンパクト用リアスプリング,NOE-JG4,HTB,PROC-NOE-JG4-ASM-HTB,SUS-SPRING-REAR-COMPACT,2,EACHES,NOE
BOM-ODY-RC1-047,ODY - ミニバンシート（ファブリック）,ODY-RC1,SZK,PROC-ODY-RC1-ASM-SZK,INT-SEAT-MINIVAN-CLOTH,7,EACHES,ODY
BOM-ODY-RC1-048,ODY - ミニバンダッシュボード,ODY-RC1,SZK,PROC-ODY-RC1-ASM-SZK,INT-DASHBOARD-MINIVAN,1,EACHES,ODY
BOM-ODY-RC1-049,ODY - 標準ステアリングホイール,ODY-RC1,SZK,PROC-ODY-RC1-ASM-SZK,INT-STEERING-STD,1,EACHES,ODY
BOM-ODY-RC1-050,ODY - ミニバンセンターコンソール,ODY-RC1,SZK,PROC-ODY-RC1-ASM-SZK,INT-CONSOLE-MINIVAN,1,EACHES,ODY
BOM-ODY-RC1-051,ODY - 標準フロアカーペット,ODY-RC1,SZK,PROC-ODY-RC1-ASM-SZK,INT-CARPET-STD,1,SET,ODY
BOM-ODY-RC1-052,ODY - ミニバン用フロントストラット,ODY-RC1,SZK,PROC-ODY-RC1-ASM-SZK,SUS-STRUT-FRONT-MINIVAN,2,EACHES,ODY
BOM-ODY-RC1-053,ODY - ミニバン用リアショックアブソーバー,ODY-RC1,SZK,PROC-ODY-RC1-ASM-SZK,SUS-SHOCK-REAR-MINIVAN,2,EACHES,ODY
BOM-ODY-RC1-054,ODY - ミニバン用フロントスプリング,ODY-RC1,SZK,PROC-ODY-RC1-ASM-SZK,SUS-SPRING-FRONT-MINIVAN,2,EACHES,ODY
BOM-ODY-RC1-055,ODY - ミニバン用リアスプリング,ODY-RC1,SZK,PROC-ODY-RC1-ASM-SZK,SUS-SPRING-REAR-MINIVAN,2,EACHES,ODY
BOM-PLT-YF3-083,PLT - SUVシート（レザー）,PLT-YF3,SZK,PROC-PLT-YF3-ASM-SZK,INT-SEAT-SUV-LEATHER,5,EACHES,PLT
BOM-PLT-YF3-084,PLT - SUVダッシュボード,PLT-YF3,SZK,PROC-PLT-YF3-ASM-SZK,INT-DASHBOARD-SUV,1,EACHES,PLT
BOM-PLT-YF3-085,PLT - レザーステアリングホイール,PLT-YF3,SZK,PROC-PLT-YF3-ASM-SZK,INT-STEERING-LEATHER,1,EACHES,PLT
BOM-PLT-YF3-086,PLT - SUVセンターコンソール,PLT-YF3,SZK,PROC-PLT-YF3-ASM-SZK,INT-CONSOLE-SUV,1,EACHES,PLT
BOM-PLT-YF3-087,PLT - プレミアムフロアカーペット,PLT-YF3,SZK,PROC-PLT-YF3-ASM-SZK,INT-CARPET-PREMIUM,1,SET,PLT
BOM-PLT-YF3-088,PLT - SUV用フロントストラット,PLT-YF3,SZK,PROC-PLT-YF3-ASM-SZK,SUS-STRUT-FRONT-SUV,2,EACHES,PLT
BOM-PLT-YF3-089,PLT - SUV用リアショックアブソーバー,PLT-YF3,SZK,PROC-PLT-YF3-ASM-SZK,SUS-SHOCK-REAR-SUV,2,EACHES,PLT
BOM-PLT-YF3-090,PLT - SUV用フロントスプリング,PLT-YF3,SZK,PROC-PLT-YF3-ASM-SZK,SUS-SPRING-FRONT-SUV,2,EACHES,PLT
