order_id,line_number,product_id,quantity,pricing_date,selling_price_ex_tax,line_total_incl_tax
ORD-000001,1,FIT-GR3,5,2022-01-02,2173461,11954035.500000002
ORD-000001,2,FRD-GB5,5,2022-01-02,2695092,14823006.000000002
ORD-000002,1,NOE-JG4,1,2022-01-03,2635607,2899167.7
ORD-000002,2,SWN-RP6,1,2022-01-03,3129784,3442762.4000000004
ORD-000003,1,NOE-JG4,8,2022-01-04,2635607,23193341.6
ORD-000004,1,ZRV-RZ3,2,2022-01-04,2608153,5737936.600000001
ORD-000005,1,ZRV-RZ3,6,2022-01-07,2608153,17213809.8
ORD-000005,2,FIT-GR3,1,2022-01-07,2173461,2390807.1
ORD-000005,3,FRD-GB5,1,2022-01-07,2695092,2964601.2
ORD-000006,1,FIT-GR3,8,2022-01-09,2173461,19126456.8
ORD-000007,1,VZL-RV3,2,2022-01-11,2782030,6120466.000000001
ORD-000007,2,NOE-JG4,2,2022-01-11,2635607,5798335.4
ORD-000008,1,FIT-GR3,4,2022-01-13,2173461,9563228.4
ORD-000008,2,ZRV-RZ3,1,2022-01-13,2608153,2868968.3000000003
ORD-000009,1,FIT-GR3,9,2022-01-15,2173461,21517263.900000002
ORD-000010,1,FIT-GR3,6,2022-01-15,2173461,14344842.600000001
ORD-000010,2,NOE-JG4,3,2022-01-15,2635607,8697503.100000001
ORD-000010,3,ZRV-RZ3,1,2022-01-15,2608153,2868968.3000000003
ORD-000011,1,CRV-RT5,39,2022-01-15,3303661,141727056.9
ORD-000012,1,SWN-RP6,2,2022-01-17,3129784,6885524.800000001
ORD-000012,2,FIT-GR3,1,2022-01-17,2173461,2390807.1
ORD-000012,3,VZL-RV3,1,2022-01-17,2782030,3060233.0000000005
ORD-000013,1,ZRV-RZ3,1,2022-01-20,2608153,2868968.3000000003
ORD-000013,2,HDE-ZC1,4,2022-01-20,3912230,17213812.0
ORD-000013,3,FIT-GR3,3,2022-01-20,2173461,7172421.300000001
ORD-000014,1,VZL-RV3,8,2022-01-20,2782030,24481864.000000004
ORD-000015,1,FRD-GB5,1,2022-01-24,2695092,2964601.2
ORD-000015,2,SWN-RP6,1,2022-01-24,3129784,3442762.4000000004
